id_cliente,nombre,municipio,latitud,longitud,capacidad_kg,apertura_minutos,cierre_minutos,prioridad,valor_pedido
C00020,Cliente PUERTO NARE 20,PUERTO NARE,6.117210379571011,-74.6841126217667,500,420,1140,2,1235831.3588015134
C00021,Cliente ARGELIA 21,ARGELIA,4.705525247332686,-76.14373866341708,500,480,1140,2,4025541.7940804847
C00022,Cliente MARINILLA 22,MARINILLA,6.190497383223743,-75.29953814156957,200,480,1200,3,2565583.9448665576
C00023,Cliente SAN JOSÉ DE LA MONTAÑA 23,SAN JOSÉ DE LA MONTAÑA,6.837593265192549,-75.68466990379193,500,480,1080,3,3243605.312526777
C00024,Cliente GÓMEZ PLATA 24,GÓMEZ PLATA,6.727183769579584,-75.19680002915649,100,540,1020,3,1084904.5226516826
C00025,Cliente TORO 25,TORO,4.653514853135239,-76.09074409489139,500,540,1080,3,1341104.4154105247
C00026,Cliente ANSERMANUEVO 26,ANSERMANUEVO,4.779651402712236,-76.01374185968187,1000,540,1140,2,3516771.258365218
C00027,Cliente BOLÍVAR 27,BOLÍVAR,4.407371832675123,-76.35364006491511,50,540,1200,1,4497843.233209042
C00028,Cliente RETIRO 28,RETIRO,6.056671718857459,-75.52084673933753,50,480,1020,1,2766232.2573646014
C00029,Cliente GUADALUPE 29,GUADALUPE,6.859513290719449,-75.20613473149557,500,360,1200,2,3745132.45533422
C00030,Cliente ANDALUCÍA 30,ANDALUCÍA,4.163081048922263,-76.15179581302992,50,540,1200,3,1289786.0020976416
C00031,Cliente SEVILLA 31,SEVILLA,4.2123323411900975,-75.89245772101333,200,480,1080,2,3361174.095332343
C00032,Cliente JARDÍN 32,JARDÍN,5.57441207419539,-75.81554558203163,50,540,1020,3,1433823.691893955
C00033,Cliente AMALFI 33,AMALFI,6.9725951910102175,-75.00062103533884,1000,360,1080,3,4272396.804563432
C00034,Cliente TRUJILLO 34,TRUJILLO,4.247313582860674,-76.35025010979375,100,360,1080,3,2871802.7919423566
C00035,Cliente BURITICÁ 35,BURITICÁ,6.797421638704615,-75.90522020932704,100,480,1140,2,4250915.484877138
C00036,Cliente CANDELARIA 36,CANDELARIA,3.3901909273594844,-76.38879698395121,1000,420,1140,3,3076992.8687851187
C00037,Cliente ITUANGO 37,ITUANGO,7.342003413954437,-75.6783621182125,1000,540,1020,1,301304.2286450148
C00038,Cliente URRAO 38,URRAO,6.328861146274062,-76.26404150189441,100,540,1140,3,817456.0028023338
C00039,Cliente ZARAGOZA 39,ZARAGOZA,7.487561346082775,-74.84406707526753,50,540,1080,3,678949.5376268297
C00040,Cliente ANGELÓPOLIS 40,ANGELÓPOLIS,6.132230045123944,-75.72731681890014,1000,480,1200,3,2086201.8300305589
C00041,Cliente SAN ROQUE 41,SAN ROQUE,6.471662407059928,-74.93602954665108,1000,420,1200,3,2024163.462151733
C00042,Cliente BELLO 42,BELLO,6.356399942828226,-75.60659762474631,1000,420,1020,1,3458074.508788564
C00043,Cliente ANSERMANUEVO 43,ANSERMANUEVO,4.7828590648028335,-76.04337300829316,100,540,1080,1,4676339.286831563
C00044,Cliente ANSERMANUEVO 44,ANSERMANUEVO,4.814121903226527,-76.02011461333217,1000,420,1020,3,1812064.7593237448
C00045,Cliente SABANALARGA 45,SABANALARGA,6.88157624554519,-75.80758463437972,1000,480,1020,2,917884.8359522256
C00046,Cliente FLORIDA 46,FLORIDA,3.28801766142604,-76.16510843499532,500,360,1080,3,3098457.9853584715
C00047,Cliente MARINILLA 47,MARINILLA,6.200672365491922,-75.31444358506634,100,420,1140,3,3310533.476513778
C00048,Cliente ALEJANDRÍA 48,ALEJANDRÍA,6.370168171575597,-75.07284135581757,100,360,1200,3,2898597.1804856006
C00049,Cliente VERSALLES 49,VERSALLES,4.649974169737694,-76.26091471438033,200,480,1020,3,3274849.6206960506
C00050,Cliente DONMATÍAS 50,DONMATÍAS,6.480235550391572,-75.439502417965,100,360,1140,3,3295827.045134674
C00051,Cliente SAN JOSÉ DE LA MONTAÑA 51,SAN JOSÉ DE LA MONTAÑA,6.837053925438778,-75.69677738257057,100,480,1020,3,1774266.192043327
C00052,Cliente NECHÍ 52,NECHÍ,7.998576274541082,-74.64903901824785,1000,360,1020,3,2864175.4045622936
C00053,Cliente SAN ROQUE 53,SAN ROQUE,6.462669918076457,-74.95019247656829,1000,540,1020,3,1229268.9543996982
C00054,Cliente CARACOLÍ 54,CARACOLÍ,6.3540759962671824,-74.7333380751021,50,420,1020,3,103646.37482747687
C00055,Cliente JAMUNDÍ 55,JAMUNDÍ,3.1975438560714453,-76.6348316344964,500,480,1080,3,1501393.3199054194
C00056,Cliente CÁCERES 56,CÁCERES,7.667303227093832,-75.23518832419903,1000,480,1200,3,2497380.508277778
C00057,Cliente ZARZAL 57,ZARZAL,4.373435999681213,-76.0684185138129,200,480,1020,2,757808.8261615374
C00058,Cliente NECOCLÍ 58,NECOCLÍ,8.507207105969496,-76.66232113178758,1000,540,1080,2,775693.8673755261
C00059,Cliente CAÑASGORDAS 59,CAÑASGORDAS,6.798343531563408,-76.00743073685996,1000,360,1080,3,4930705.265923211
C00060,Cliente BUENAVENTURA 60,BUENAVENTURA,3.487349495868013,-77.11040107217667,200,360,1200,3,4536454.206218943
C00061,Cliente CONCEPCIÓN 61,CONCEPCIÓN,6.373484260779532,-75.22771172304508,100,540,1080,1,631754.9215466692
C00062,Cliente SEGOVIA 62,SEGOVIA,7.276691856277732,-74.61439768291612,500,420,1020,2,4349565.684537828
C00063,Cliente YUMBO 63,YUMBO,3.5933671022642626,-76.49890353003893,1000,540,1020,1,2662120.489977184
C00064,Cliente VIJES 64,VIJES,3.7458130613760527,-76.45187507857524,100,480,1020,2,4979365.3063953845
C00065,Cliente GUADALUPE 65,GUADALUPE,6.864948897476924,-75.20986670958037,50,480,1200,3,2002882.903110243
C00066,Cliente PALMIRA 66,PALMIRA,3.5631981799120616,-76.23670447268074,500,540,1080,2,1366392.7285729828
C00067,Cliente SANTA BÁRBARA 67,SANTA BÁRBARA,5.897960748306646,-75.5638552802208,50,360,1020,3,1391240.330449893
C00068,Cliente EL CAIRO 68,EL CAIRO,4.772500788379754,-76.20212677028307,100,480,1200,3,459604.67917476536
C00069,Cliente CARACOLÍ 69,CARACOLÍ,6.352616435580016,-74.75173942319576,50,420,1020,3,1914857.901192807
C00070,Cliente CAICEDO 70,CAICEDO,6.418699273265241,-75.97471840408741,200,360,1020,1,712567.9880631343
C00071,Cliente LA UNIÓN 71,LA UNIÓN,4.520192410866037,-76.0887009349498,50,360,1140,3,2946490.185011086
C00072,Cliente GRANADA 72,GRANADA,6.141171350195298,-75.1136505643729,50,360,1080,2,1409922.3952782485
C00073,Cliente ALEJANDRÍA 73,ALEJANDRÍA,6.3546798372201385,-75.08372899262378,100,540,1140,2,2625523.119473777
C00074,Cliente VEGACHÍ 74,VEGACHÍ,6.8497899816025,-74.76171911040916,50,420,1200,3,2047240.187751365
C00075,Cliente TOLEDO 75,TOLEDO,7.015598907680739,-75.7168123888534,1000,360,1080,3,725038.8041545104
C00076,Cliente COCORNÁ 76,COCORNÁ,6.009916587981675,-75.1546882571351,200,480,1140,3,2282006.714709717
C00077,Cliente PUEBLORRICO 77,PUEBLORRICO,5.805563571292851,-75.85588320199089,200,360,1020,3,4218352.504342613
C00078,Cliente BARBOSA 78,BARBOSA,6.433747710531959,-75.33087541975047,100,420,1020,2,2919267.175635105
C00079,Cliente URRAO 79,URRAO,6.336831876668563,-76.26066005364066,200,420,1200,3,1761053.0524531228
C00080,Cliente SAN PEDRO DE LOS MILAGROS 80,SAN PEDRO DE LOS MILAGROS,6.457624773610514,-75.55578159045916,100,360,1080,2,1758159.0077208143
C00081,Cliente JARDÍN 81,JARDÍN,5.555716526259407,-75.81647713763171,1000,360,1200,2,2541915.490731541
C00082,Cliente EL BAGRE 82,EL BAGRE,7.697496661587201,-74.68058563655086,50,420,1140,3,1917565.52794826
C00083,Cliente PUERTO NARE 83,PUERTO NARE,6.117614244925888,-74.69092916880828,50,480,1020,3,4624006.707581794
C00084,Cliente ARBOLETES 84,ARBOLETES,8.616125452861212,-76.42002662441722,100,360,1080,1,3581080.4501285343
C00085,Cliente TITIRIBÍ 85,TITIRIBÍ,6.072127597905346,-75.78967540071966,500,360,1080,3,1250228.9929919117
C00086,Cliente VENECIA 86,VENECIA,5.951667721524185,-75.7964213820889,50,360,1140,1,1204421.237171516
C00087,Cliente APARTADÓ 87,APARTADÓ,7.8642218481421615,-76.57519854723422,200,360,1020,3,3697271.253204819
C00088,Cliente TITIRIBÍ 88,TITIRIBÍ,6.068167549967374,-75.80239366815081,200,420,1020,2,3057398.3503531856
C00089,Cliente ITAGÜÍ 89,ITAGÜÍ,6.198740047951719,-75.60997270722572,50,360,1080,2,2464658.5140032526
C00090,Cliente SAN JUAN DE URABÁ 90,SAN JUAN DE URABÁ,8.694604263962052,-76.54107853325225,50,480,1140,3,4912774.1536976015
C00091,Cliente AMALFI 91,AMALFI,6.973703066961829,-74.96246048266899,500,480,1080,3,3628335.6782777896
C00092,Cliente JERICÓ 92,JERICÓ,5.786995575565103,-75.76261204427945,100,480,1020,3,1652212.2202010062
C00093,Cliente BELLO 93,BELLO,6.346821363093532,-75.58028599265207,500,480,1020,3,2927129.196041931
C00094,Cliente DAGUA 94,DAGUA,3.6671027916902776,-76.72756778231363,200,360,1080,2,363706.1038402004
C00095,Cliente ARGELIA 95,ARGELIA,4.69718201779899,-76.12925501216581,50,480,1020,1,2392172.6952068666
C00096,Cliente COCORNÁ 96,COCORNÁ,6.002066710565891,-75.16619929933829,50,360,1080,3,4668043.432144775
C00097,Cliente CANDELARIA 97,CANDELARIA,3.3702916364021296,-76.38800748660144,50,540,1200,3,741873.264300133
C00098,Cliente SEGOVIA 98,SEGOVIA,7.276943466990613,-74.60965777476322,200,360,1020,3,2639173.852607141
C00099,Cliente BUENAVENTURA 99,BUENAVENTURA,3.48598862929186,-77.1151960529682,100,540,1200,3,2340264.939064552
C00100,Cliente YUMBO 100,YUMBO,3.5975049114765856,-76.51343811298447,50,360,1020,3,2740586.662514244
C00101,Cliente EL SANTUARIO 101,EL SANTUARIO,6.113370510636991,-75.25040880757545,200,480,1140,2,3980424.686887965
C00102,Cliente SAN PEDRO 102,SAN PEDRO,3.981249385056159,-76.19870324355443,200,540,1020,2,1280021.2420816054
C00103,Cliente EL CARMEN DE VIBORAL 103,EL CARMEN DE VIBORAL,5.959420138389431,-75.26074051260514,100,360,1140,3,2705582.689848744
C00104,Cliente ENVIGADO 104,ENVIGADO,6.16825301366938,-75.56176824350672,1000,540,1020,3,3870815.803961313
C00105,Cliente RIOFRÍO 105,RIOFRÍO,4.115146203315413,-76.36329649222132,500,420,1140,3,4797420.233091937
C00106,Cliente EL SANTUARIO 106,EL SANTUARIO,6.127545166790645,-75.25608872332944,100,420,1140,2,2554148.9604781065
C00107,Cliente TITIRIBÍ 107,TITIRIBÍ,6.067393794442496,-75.79594153378964,500,540,1200,3,3550831.239851323
C00108,Cliente SONSÓN 108,SONSÓN,5.83723864574079,-74.84139881521118,50,420,1140,3,4631564.138888543
C00109,Cliente OBANDO 109,OBANDO,4.58250109727383,-75.9597634586162,100,420,1200,2,4355986.992207535
C00110,Cliente GUARNE 110,GUARNE,6.255721527835084,-75.43299223424823,50,360,1020,2,3038421.582064188
C00111,Cliente CAUCASIA 111,CAUCASIA,7.863868539743637,-75.03352241588249,200,420,1080,3,4596350.88844954
C00112,Cliente ANDALUCÍA 112,ANDALUCÍA,4.1422984209176,-76.1625358293547,200,420,1200,3,217701.8432206452
C00113,Cliente TULUÁ 113,TULUÁ,4.022903725964666,-76.02928025598888,100,540,1080,3,4807298.071473803
C00114,Cliente LA CUMBRE 114,LA CUMBRE,3.690888070949081,-76.60648506327685,1000,540,1020,2,2016724.6715151093
C00115,Cliente YOLOMBÓ 115,YOLOMBÓ,6.656419140882972,-75.03592718003803,1000,360,1020,2,2957895.340958668
C00116,Cliente MEDELLÍN 116,MEDELLÍN,6.2686113636678,-75.61289951661007,100,420,1200,3,3838513.5912778913
C00117,Cliente BUENAVENTURA 117,BUENAVENTURA,3.480617891219811,-77.10425689515947,200,540,1080,2,2073234.1469355773
C00118,Cliente SABANETA 118,SABANETA,6.157462440424639,-75.59521443562173,1000,540,1020,3,1020759.8434825914
C00119,Cliente MUTATÁ 119,MUTATÁ,7.313722191279383,-76.45106905658507,200,480,1020,3,4036309.08842163
C00120,Cliente SALGAR 120,SALGAR,5.979393011274226,-75.96714465127575,200,540,1200,3,2061641.925953934
C00121,Cliente GUARNE 121,GUARNE,6.282479135740845,-75.45678793305956,50,480,1020,1,2936055.726799976
C00122,Cliente PUERTO TRIUNFO 122,PUERTO TRIUNFO,5.970537019443079,-74.67349405753046,500,480,1080,3,219429.1485616192
C00123,Cliente BETANIA 123,BETANIA,5.732047241313965,-75.99051460391235,50,420,1020,2,3829848.681090816
C00124,Cliente BURITICÁ 124,BURITICÁ,6.793634407036816,-75.90943488520134,200,420,1140,3,161223.07618458112
C00125,Cliente ARBOLETES 125,ARBOLETES,8.621062739769147,-76.40682933587357,50,480,1020,2,4922790.794482583
C00126,Cliente CAÑASGORDAS 126,CAÑASGORDAS,6.801817194433932,-76.03600402693922,200,420,1080,3,2515549.2298794785
C00127,Cliente CAROLINA 127,CAROLINA,6.756988562100632,-75.29984972446591,100,540,1140,2,1355234.8230413513
C00128,Cliente CARAMANTA 128,CARAMANTA,5.5702308991025005,-75.62692443591318,500,360,1020,3,4198629.467732564
C00129,Cliente YARUMAL 129,YARUMAL,6.985012342382027,-75.46024471493756,200,360,1140,1,387836.0415027533
C00130,Cliente SANTA FÉ DE ANTIOQUIA 130,SANTA FÉ DE ANTIOQUIA,6.527259325470828,-75.9100396713414,50,480,1140,3,2013414.3966076688
C00131,Cliente PALMIRA 131,PALMIRA,3.5758660655729906,-76.21849683611158,50,420,1200,3,4215571.818534715
C00132,Cliente PUERTO NARE 132,PUERTO NARE,6.126393788888049,-74.69930350604332,100,360,1080,3,1790123.797614383
C00133,Cliente ANSERMANUEVO 133,ANSERMANUEVO,4.795746944648248,-76.0220943941429,100,360,1140,1,61579.98359760238
C00134,Cliente SANTA ROSA DE OSOS 134,SANTA ROSA DE OSOS,6.679437051674763,-75.4437043741224,500,480,1140,3,3468273.1506059207
C00135,Cliente ENVIGADO 135,ENVIGADO,6.137863130474488,-75.52854095827983,200,540,1140,3,3476768.99436337
C00136,Cliente CÁCERES 136,CÁCERES,7.681289657505441,-75.2178308432353,200,420,1020,3,3542597.103952658
C00137,Cliente GINEBRA 137,GINEBRA,3.731327423805093,-76.1881022307779,100,480,1080,2,1003365.1875388706
C00138,Cliente MUTATÁ 138,MUTATÁ,7.348400177806615,-76.44529504043547,100,480,1080,1,2636051.1515522865
C00139,Cliente SANTO DOMINGO 139,SANTO DOMINGO,6.46252443738862,-75.13875017486072,200,540,1200,3,2674812.406542756
C00140,Cliente TÁMESIS 140,TÁMESIS,5.676655681377338,-75.69764066082396,500,360,1080,2,4435589.853769126
C00141,Cliente TÁMESIS 141,TÁMESIS,5.6630769499901445,-75.72882370873774,100,420,1080,1,1950621.2551026423
C00142,Cliente SAN PEDRO DE LOS MILAGROS 142,SAN PEDRO DE LOS MILAGROS,6.470617637430946,-75.54256653557867,500,360,1080,1,2424917.5679396987
C00143,Cliente ARMENIA 143,ARMENIA,6.178630842567454,-75.79059194123202,100,420,1020,2,3674745.4455639934
C00144,Cliente ABRIAQUÍ 144,ABRIAQUÍ,6.626261808661505,-76.09409744494181,100,540,1080,2,138475.97693039838
C00145,Cliente NARIÑO 145,NARIÑO,5.565654015947165,-75.19890498437837,500,540,1140,3,492584.4614456846
C00146,Cliente CONCEPCIÓN 146,CONCEPCIÓN,6.391270919302487,-75.20006972910834,200,420,1020,3,371682.7269403254
C00147,Cliente MUTATÁ 147,MUTATÁ,7.347267118965405,-76.4570798340403,1000,480,1020,2,1951248.5268816848
C00148,Cliente ABRIAQUÍ 148,ABRIAQUÍ,6.640617605831758,-76.0739467725148,50,360,1140,3,1338155.17136006
C00149,Cliente VERSALLES 149,VERSALLES,4.654572180028164,-76.25140400527785,200,540,1140,2,2708023.393322397
C00150,Cliente NARIÑO 150,NARIÑO,5.597072169649113,-75.18016511734328,200,360,1200,2,4449302.9953514375
C00151,Cliente PRADERA 151,PRADERA,3.4347243913338805,-76.19700151526327,50,360,1140,1,1894808.159210954
C00152,Cliente MUTATÁ 152,MUTATÁ,7.33738641971399,-76.48111435673307,100,420,1020,2,426847.7544769859
C00153,Cliente PUERTO NARE 153,PUERTO NARE,6.108999820049569,-74.6878609692345,1000,480,1080,3,2741705.5945871263
C00154,Cliente EL CARMEN DE VIBORAL 154,EL CARMEN DE VIBORAL,5.993224040454207,-75.25163905913571,500,360,1140,3,4193215.975400176
C00155,Cliente SAN ANDRÉS DE CUERQUÍA 155,SAN ANDRÉS DE CUERQUÍA,6.93563084702039,-75.68154243624686,200,420,1200,2,4365625.462338898
C00156,Cliente CARAMANTA 156,CARAMANTA,5.56830796602259,-75.64566616530105,200,360,1080,3,2803099.588446797
C00157,Cliente PEÑOL 157,PEÑOL,6.232695077350433,-75.24325362513133,1000,420,1140,3,1336027.726267591
C00158,Cliente SALGAR 158,SALGAR,5.983249510819993,-75.99623456127627,200,420,1140,3,1742267.221891496
C00159,Cliente ITUANGO 159,ITUANGO,7.328729610936953,-75.66827481663798,500,540,1200,3,873569.0553147481
C00160,Cliente ANZÁ 160,ANZÁ,6.276240637058751,-75.91408245159295,50,420,1080,1,4951234.445115703
C00161,Cliente CAÑASGORDAS 161,CAÑASGORDAS,6.8127883552804125,-76.02099337426392,500,360,1200,1,1651870.584790229
C00162,Cliente PUEBLORRICO 162,PUEBLORRICO,5.822453285734284,-75.87066632001248,100,420,1080,3,555858.417483909
C00163,Cliente CONCEPCIÓN 163,CONCEPCIÓN,6.377187150848475,-75.20482217936801,200,540,1200,1,3289830.5106916195
C00164,Cliente CALDAS 164,CALDAS,6.069169013901291,-75.60789727386239,500,360,1020,3,4824376.337737532
C00165,Cliente JAMUNDÍ 165,JAMUNDÍ,3.204860997093947,-76.60824507408161,50,420,1200,3,1041777.7605661276
C00166,Cliente CÁCERES 166,CÁCERES,7.67375206660809,-75.22118742854626,500,540,1140,3,4349684.681380274
C00167,Cliente GRANADA 167,GRANADA,6.1095270425264445,-75.12948871461579,100,540,1140,3,211004.588481697
C00168,Cliente ITUANGO 168,ITUANGO,7.3602501685445505,-75.69100441501293,50,420,1080,3,1275322.780236707
C00169,Cliente ANGOSTURA 169,ANGOSTURA,6.849519753068014,-75.35865221813035,1000,360,1080,3,2303339.737954916
C00170,Cliente MUTATÁ 170,MUTATÁ,7.328141791865432,-76.45584743494562,100,420,1140,3,3490160.3363263854
C00171,Cliente EL CARMEN DE VIBORAL 171,EL CARMEN DE VIBORAL,5.996184786521549,-75.24722335388061,200,420,1140,2,4933979.836672375
C00172,Cliente TRUJILLO 172,TRUJILLO,4.214002821477621,-76.34363273473794,500,540,1020,3,1665983.47580776
C00173,Cliente ABEJORRAL 173,ABEJORRAL,5.805097842239058,-75.42317219056721,50,360,1200,2,4888458.612258189
C00174,Cliente SAN CARLOS 174,SAN CARLOS,6.201368257765491,-74.89530422203563,100,420,1140,3,664888.8353038938
C00175,Cliente YOLOMBÓ 175,YOLOMBÓ,6.625691305793026,-75.01245417015026,50,420,1200,3,4018554.0111954696
C00176,Cliente JERICÓ 176,JERICÓ,5.774310855435246,-75.76550662209704,200,540,1200,3,2288975.508365585
C00177,Cliente ABRIAQUÍ 177,ABRIAQUÍ,6.609199542243698,-76.09941758076042,200,420,1080,3,2422430.6964526223
C00178,Cliente YARUMAL 178,YARUMAL,6.981291597512587,-75.45559226629214,1000,540,1020,3,2516068.796443038
C00179,Cliente PUERTO TRIUNFO 179,PUERTO TRIUNFO,5.9356645965716615,-74.68006127923051,1000,540,1200,3,1037735.1320992684
C00180,Cliente CAUCASIA 180,CAUCASIA,7.856764236996892,-75.0382822484533,50,480,1200,2,2108741.462427357
C00181,Cliente BURITICÁ 181,BURITICÁ,6.806084623377923,-75.91822855029812,500,420,1200,3,2594279.5456531886
C00182,Cliente SEGOVIA 182,SEGOVIA,7.264468006767583,-74.6126289535834,500,420,1140,3,1420297.5963135052
C00183,Cliente URRAO 183,URRAO,6.326695521144346,-76.26469877881335,200,360,1080,3,701260.041379936
C00184,Cliente ANGELÓPOLIS 184,ANGELÓPOLIS,6.11764271032343,-75.71187544465353,100,540,1080,3,4279206.212179417
C00185,Cliente COPACABANA 185,COPACABANA,6.341772135976127,-75.4859263339491,50,540,1080,1,1595132.880647413
C00186,Cliente CAMPAMENTO 186,CAMPAMENTO,7.026342815308045,-75.28139231341834,50,540,1200,2,2296258.2298490144
C00187,Cliente DAGUA 187,DAGUA,3.66517060478643,-76.7227124950487,100,360,1080,3,2274697.4843080016
C00188,Cliente ANGELÓPOLIS 188,ANGELÓPOLIS,6.126116102464161,-75.70767857132459,500,540,1020,3,2690884.030233493
C00189,Cliente FRONTINO 189,FRONTINO,6.705131590958768,-76.31976975388199,500,480,1140,3,219229.44139883292
C00190,Cliente PEQUE 190,PEQUE,7.0264635322435725,-75.88844164887996,500,420,1020,3,941051.6654899812
C00191,Cliente ITAGÜÍ 191,ITAGÜÍ,6.171925682199071,-75.61391430765246,500,420,1200,3,74452.9056253276
C00192,Cliente GIRALDO 192,GIRALDO,6.682019772922813,-75.94484214081217,200,420,1140,3,198369.26986975587
C00193,Cliente EL BAGRE 193,EL BAGRE,7.690375045481575,-74.64668446832293,500,480,1200,3,3379380.485214375
C00194,Cliente SAN PEDRO DE LOS MILAGROS 194,SAN PEDRO DE LOS MILAGROS,6.448048759733393,-75.54395002668718,100,360,1140,3,136704.15476720806
C00195,Cliente GINEBRA 195,GINEBRA,3.757339497653668,-76.17623568656181,50,540,1140,3,3398741.2595973704
C00196,Cliente JAMUNDÍ 196,JAMUNDÍ,3.231527403253523,-76.61453062465154,1000,360,1080,2,3044521.917318177
C00197,Cliente LA CEJA 197,LA CEJA,6.011611810368852,-75.43459303157108,1000,360,1020,3,4398652.028441672
C00198,Cliente ZARAGOZA 198,ZARAGOZA,7.484611640582232,-74.84145626676477,200,420,1080,3,2206137.408324018
C00199,Cliente NECHÍ 199,NECHÍ,7.978504284075269,-74.66656708901759,50,360,1140,3,2839022.690374872
C00200,Cliente JAMUNDÍ 200,JAMUNDÍ,3.209434713050814,-76.6296564350951,50,540,1020,3,2955955.4531206973
