a_o,mes,estado,lugar,vehiculos,pasajeros
2022,MARZO,SALIDAS,TERMINAL DEL NORTE,57239,698895
2022,ABRIL,SALIDAS,TERMINAL DEL NORTE,55777,769649
2022,MAYO,SALIDAS,TERMINAL DEL NORTE,52441,643134
2022,JUNIO,SALIDAS,TERMINAL DEL NORTE,55030,748299
2022,JULIO,SALIDAS,TERMINAL DEL NORTE,58006,821990
2022,AGOSTO,SALIDAS,TERMINAL DEL NORTE,57806,795447
2022,SEPTIEMBRE,SALIDAS,TERMINAL DEL NORTE,55779,769342
2022,OCTUBRE,SALIDAS,TERMINAL DEL NORTE,59289,863287
2022,NOVIEMBRE,SALIDAS,TERMINAL DEL NORTE,55813,804261
2022,DICIEMBRE,SALIDAS,TERMINAL DEL NORTE,61562,1009675
2022,ENERO,SALIDAS,TERMINAL DEL SUR,18586,172634
2022,FEBRERO,SALIDAS,TERMINAL DEL SUR,16197,120674
2022,MARZO,SALIDAS,TERMINAL DEL SUR,18230,139563
2022,ABRIL,SALIDAS,TERMINAL DEL SUR,19526,175582
2022,MAYO,SALIDAS,TERMINAL DEL SUR,18803,124049
2022,JUNIO,SALIDAS,TERMINAL DEL SUR,18976,154827
2022,JULIO,SALIDAS,TERMINAL DEL SUR,20231,171450
2022,AGOSTO,SALIDAS,TERMINAL DEL SUR,20662,162625
2022,SEPTIEMBRE,SALIDAS,TERMINAL DEL SUR,20032,150725
2022,OCTUBRE,SALIDAS,TERMINAL DEL SUR,21162,188870
2022,NOVIEMBRE,SALIDAS,TERMINAL DEL SUR,19952,172865
2022,DICIEMBRE,SALIDAS,TERMINAL DEL SUR,22452,244656
2022,ENERO,LLEGADAS,TERMINAL DEL NORTE,55911,632130
2022,FEBRERO,LLEGADAS,TERMINAL DEL NORTE,47711,440733
2022,MARZO,LLEGADAS,TERMINAL DEL NORTE,53515,490491
2022,ABRIL,LLEGADAS,TERMINAL DEL NORTE,52846,550861
2022,MAYO,LLEGADAS,TERMINAL DEL NORTE,49033,452781
2022,JUNIO,LLEGADAS,TERMINAL DEL NORTE,51930,530504
2022,JULIO,LLEGADAS,TERMINAL DEL NORTE,55267,589025
2022,AGOSTO,LLEGADAS,TERMINAL DEL NORTE,54330,569828
2022,SEPTIEMBRE,LLEGADAS,TERMINAL DEL NORTE,51168,523947
2022,OCTUBRE,LLEGADAS,TERMINAL DEL NORTE,54874,607942
2022,NOVIEMBRE,LLEGADAS,TERMINAL DEL NORTE,50796,552247
2022,DICIEMBRE,LLEGADAS,TERMINAL DEL NORTE,56759,661742
2022,ENERO,LLEGADAS,TERMINAL DEL SUR,16964,142140
2022,FEBRERO,LLEGADAS,TERMINAL DEL SUR,14228,90891
2022,MARZO,LLEGADAS,TERMINAL DEL SUR,15924,102123
2022,ABRIL,LLEGADAS,TERMINAL DEL SUR,17115,118780
2022,MAYO,LLEGADAS,TERMINAL DEL SUR,15462,83954
2022,JUNIO,LLEGADAS,TERMINAL DEL SUR,15962,103016
2022,JULIO,LLEGADAS,TERMINAL DEL SUR,17583,126418
2022,AGOSTO,LLEGADAS,TERMINAL DEL SUR,17741,125239
2022,SEPTIEMBRE,LLEGADAS,TERMINAL DEL SUR,17016,116369
2022,OCTUBRE,LLEGADAS,TERMINAL DEL SUR,18385,141584
2022,NOVIEMBRE,LLEGADAS,TERMINAL DEL SUR,17472,123933
2022,DICIEMBRE,LLEGADAS,TERMINAL DEL SUR,19348,165704
2023,ENERO,SALIDAS,TERMINAL DEL NORTE,58244,876159
2023,FEBRERO,SALIDAS,TERMINAL DEL NORTE,50912,678961
2023,MARZO,SALIDAS,TERMINAL DEL NORTE,56582,772988
2023,ABRIL,SALIDAS,TERMINAL DEL NORTE,57066,828857
2023,MAYO,SALIDAS,TERMINAL DEL NORTE,57843,786968
2023,JUNIO,SALIDAS,TERMINAL DEL NORTE,57920,883205
2023,JULIO,SALIDAS,TERMINAL DEL NORTE,59899,891746
2023,AGOSTO,SALIDAS,TERMINAL DEL NORTE,59860,881945
2023,SEPTIEMBRE,SALIDAS,TERMINAL DEL NORTE,57435,818875
2023,OCTUBRE,SALIDAS,TERMINAL DEL NORTE,59446,864061
2023,NOVIEMBRE,SALIDAS,TERMINAL DEL NORTE,57387,813339
2023,DICIEMBRE,SALIDAS,TERMINAL DEL NORTE,63326,1056960
2023,ENERO,SALIDAS,TERMINAL DEL SUR,21649,207692
2023,FEBRERO,SALIDAS,TERMINAL DEL SUR,18391,133629
2023,MARZO,SALIDAS,TERMINAL DEL SUR,20966,160730
2023,ABRIL,SALIDAS,TERMINAL DEL SUR,20730,186330
2023,MAYO,SALIDAS,TERMINAL DEL SUR,21414,166651
2023,JUNIO,SALIDAS,TERMINAL DEL SUR,21617,196732
2023,JULIO,SALIDAS,TERMINAL DEL SUR,21990,190425
2023,AGOSTO,SALIDAS,TERMINAL DEL SUR,22196,184510
2023,SEPTIEMBRE,SALIDAS,TERMINAL DEL SUR,21297,160943
2023,OCTUBRE,SALIDAS,TERMINAL DEL SUR,22636,189351
2023,NOVIEMBRE,SALIDAS,TERMINAL DEL SUR,21946,182171
2023,DICIEMBRE,SALIDAS,TERMINAL DEL SUR,24562,272887
2023,ENERO,LLEGADAS,TERMINAL DEL NORTE,56044,725907
2023,FEBRERO,LLEGADAS,TERMINAL DEL NORTE,46960,494712
2023,MARZO,LLEGADAS,TERMINAL DEL NORTE,52012,541987
2023,ABRIL,LLEGADAS,TERMINAL DEL NORTE,51928,585936
2023,MAYO,LLEGADAS,TERMINAL DEL NORTE,54000,572679
2023,JUNIO,LLEGADAS,TERMINAL DEL NORTE,54326,631305
2023,JULIO,LLEGADAS,TERMINAL DEL NORTE,56438,675342
2023,AGOSTO,LLEGADAS,TERMINAL DEL NORTE,55837,641048
2023,SEPTIEMBRE,LLEGADAS,TERMINAL DEL NORTE,53129,580703
2023,OCTUBRE,LLEGADAS,TERMINAL DEL NORTE,55333,611157
2023,NOVIEMBRE,LLEGADAS,TERMINAL DEL NORTE,53346,574286
2023,DICIEMBRE,LLEGADAS,TERMINAL DEL NORTE,58437,688021
2023,ENERO,LLEGADAS,TERMINAL DEL SUR,19329,167786
2023,FEBRERO,LLEGADAS,TERMINAL DEL SUR,16007,102562
2023,MARZO,LLEGADAS,TERMINAL DEL SUR,18458,118286
2023,ABRIL,LLEGADAS,TERMINAL DEL SUR,18150,139119
2023,MAYO,LLEGADAS,TERMINAL DEL SUR,19042,136958
2023,JUNIO,LLEGADAS,TERMINAL DEL SUR,19328,145170
2023,JULIO,LLEGADAS,TERMINAL DEL SUR,19645,161682
2023,AGOSTO,LLEGADAS,TERMINAL DEL SUR,19719,153786
2023,SEPTIEMBRE,LLEGADAS,TERMINAL DEL SUR,18902,131275
2023,OCTUBRE,LLEGADAS,TERMINAL DEL SUR,20169,149980
2023,NOVIEMBRE,LLEGADAS,TERMINAL DEL SUR,19567,146633
2023,DICIEMBRE,LLEGADAS,TERMINAL DEL SUR,21641,181865
