zona,dia_semana,hora,velocidad_promedio,flujo_vehicular,nivel_congestion
Centro,6,1,55.2,387,98.2
Centro,6,2,51.1,378,96.9
Centro,6,3,58.7,671,25.8
Centro,6,4,51.7,568,92.9
Centro,6,5,55.6,500,28.0
Centro,6,6,57.7,230,32.4
Centro,6,7,31.4,455,24.2
Centro,6,8,26.7,527,28.9
Centro,6,9,33.7,208,48.1
Centro,6,10,45.3,136,33.7
Centro,6,11,41.3,144,99.0
Centro,6,12,43.2,666,25.5
Centro,6,13,46.8,632,59.6
Centro,6,14,44.7,388,34.9
Centro,6,15,49.3,681,96.5
Centro,6,16,41.2,611,93.8
Centro,6,17,27.7,146,74.1
Centro,6,18,33.6,689,14.0
Centro,6,19,36.9,241,16.4
Centro,6,20,51.6,670,66.5
Centro,6,21,55.2,351,87.7
Centro,6,22,53.9,671,43.9
Centro,6,23,53.8,423,30.1
Norte,0,0,47.5,451,23.2
Norte,0,1,49.0,368,54.4
Norte,0,2,49.1,536,11.7
Norte,0,3,49.4,539,33.5
Norte,0,4,41.4,655,62.0
Norte,0,5,45.3,725,78.9
Norte,0,6,41.5,318,24.8
Norte,0,7,26.2,123,57.0
Norte,0,8,26.4,713,34.2
Norte,0,9,27.3,177,84.6
Norte,0,10,31.3,378,79.7
Norte,0,11,31.5,260,72.2
Norte,0,12,37.2,548,69.4
Norte,0,13,35.4,276,34.6
Norte,0,14,31.8,735,58.3
Norte,0,15,34.0,423,94.7
Norte,0,16,31.5,510,50.6
Norte,0,17,24.2,112,87.2
Norte,0,18,29.0,495,69.7
Norte,0,19,28.8,595,15.3
Norte,0,20,45.8,524,42.4
Norte,0,21,47.4,754,92.6
Norte,0,22,44.5,179,98.5
Norte,0,23,48.4,187,92.1
Norte,1,0,48.7,463,59.1
Norte,1,1,44.0,138,33.5
Norte,1,2,48.0,103,33.3
Norte,1,3,44.0,476,92.0
Norte,1,4,43.5,342,73.8
Norte,1,5,44.5,257,45.2
Norte,1,6,41.4,223,49.8
Norte,1,7,21.3,740,36.2
Norte,1,8,23.7,542,1.3
Norte,1,9,25.0,224,96.1
Norte,1,10,31.5,390,8.5
Norte,1,11,40.0,451,59.5
Norte,1,12,30.7,624,21.0
Norte,1,13,39.0,243,19.1
Norte,1,14,30.4,430,56.5
Norte,1,15,30.7,642,45.3
Norte,1,16,35.2,408,40.1
Norte,1,17,23.4,208,18.2
Norte,1,18,27.9,762,37.3
Norte,1,19,19.1,550,40.9
Norte,1,20,40.3,209,71.6
Norte,1,21,46.6,118,22.2
Norte,1,22,42.3,570,2.0
Norte,1,23,41.0,659,17.9
Norte,2,0,46.5,266,9.9
Norte,2,1,42.4,605,85.6
Norte,2,2,48.3,378,66.8
Norte,2,3,42.0,305,89.6
Norte,2,4,40.1,159,20.8
Norte,2,5,40.3,227,58.3
Norte,2,6,44.2,724,81.7
Norte,2,7,20.1,281,38.0
Norte,2,8,23.9,287,62.4
Norte,2,9,21.1,486,43.6
Norte,2,10,32.9,763,76.4
Norte,2,11,31.4,707,48.7
Norte,2,12,38.9,659,42.5
Norte,2,13,30.2,288,54.2
Norte,2,14,36.3,280,13.9
Norte,2,15,38.3,789,52.6
Norte,2,16,31.7,290,1.8
Norte,2,17,28.7,182,57.7
Norte,2,18,19.1,487,65.1
Norte,2,19,27.4,244,1.1
Norte,2,20,41.4,730,87.4
Norte,2,21,46.0,520,66.5
Norte,2,22,41.8,740,41.9
Norte,2,23,43.8,463,4.7
Norte,3,0,41.7,616,8.3
Norte,3,1,46.0,271,38.9
Norte,3,2,42.9,348,71.9
Norte,3,3,43.0,496,47.6
Norte,3,4,46.6,755,73.3
Norte,3,5,42.1,121,26.2
Norte,3,6,46.0,135,49.6
Norte,3,7,24.0,333,77.1
Norte,3,8,16.6,152,72.8
Norte,3,9,22.4,581,43.5
Norte,3,10,32.5,673,79.9
Norte,3,11,36.9,290,59.0
Norte,3,12,33.6,164,91.7
Norte,3,13,31.4,765,44.6
Norte,3,14,31.9,479,87.3
Norte,3,15,37.3,664,65.9
Norte,3,16,36.9,694,25.0
Norte,3,17,22.3,254,98.8
Norte,3,18,29.2,127,70.6
Norte,3,19,28.9,226,56.8
Norte,3,20,49.2,123,69.7
Norte,3,21,43.0,747,97.1
Norte,3,22,49.4,431,86.2
Norte,3,23,48.4,323,82.9
Norte,4,0,40.4,517,23.0
Norte,4,1,41.2,153,69.6
Norte,4,2,43.4,607,6.5
Norte,4,3,43.2,477,79.1
Norte,4,4,43.2,538,88.6
Norte,4,5,46.2,263,2.4
Norte,4,6,48.7,114,87.5
Norte,4,7,22.9,757,79.9
Norte,4,8,30.0,345,76.7
Norte,4,9,21.0,435,62.8
Norte,4,10,38.7,788,76.8
Norte,4,11,34.2,394,73.8
Norte,4,12,32.4,177,35.5
Norte,4,13,32.9,307,23.4
Norte,4,14,30.4,112,98.8
Norte,4,15,34.3,369,68.0
Norte,4,16,32.2,764,78.6
Norte,4,17,16.3,392,87.9
Norte,4,18,29.2,427,61.3
Norte,4,19,17.5,793,23.2
Norte,4,20,49.4,554,60.8
Norte,4,21,45.1,261,17.7
Norte,4,22,42.2,230,78.0
Norte,4,23,43.5,140,96.9
Norte,5,0,58.8,749,99.5
Norte,5,1,51.7,377,75.8
Norte,5,2,57.0,207,81.6
Norte,5,3,52.2,256,53.7
Norte,5,4,55.9,506,9.1
Norte,5,5,58.8,285,13.0
Norte,5,6,58.9,768,86.2
Norte,5,7,37.1,558,55.1
Norte,5,8,26.3,385,37.3
Norte,5,9,28.9,606,49.6
Norte,5,10,40.8,254,68.3
Norte,5,11,40.8,695,49.5
Norte,5,12,44.8,514,82.5
Norte,5,13,43.5,574,56.6
Norte,5,14,42.7,715,79.7
Norte,5,15,46.6,695,86.7
Norte,5,16,47.1,685,69.7
Norte,5,17,35.2,533,75.3
Norte,5,18,27.4,716,87.2
Norte,5,19,25.4,678,12.9
Norte,5,20,53.4,620,16.1
Norte,5,21,58.2,682,50.7
Norte,5,22,50.1,300,61.7
Norte,5,23,59.8,542,26.0
Norte,6,0,56.3,477,78.0
Norte,6,1,51.1,632,54.1
Norte,6,2,59.6,339,63.3
Norte,6,3,59.3,171,93.7
Norte,6,4,56.9,147,30.1
Norte,6,5,57.1,147,58.2
Norte,6,6,53.5,534,4.6
Norte,6,7,38.1,781,96.9
Norte,6,8,36.2,191,75.8
Norte,6,9,25.4,115,32.4
Norte,6,10,44.9,639,68.3
Norte,6,11,44.5,291,99.7
Norte,6,12,44.3,415,16.4
Norte,6,13,47.9,585,22.1
Norte,6,14,40.8,576,65.5
Norte,6,15,42.7,765,15.1
Norte,6,16,44.3,760,42.0
Norte,6,17,34.6,378,27.4
Norte,6,18,39.8,386,89.4
Norte,6,19,28.4,249,3.1
Norte,6,20,56.5,357,86.4
Norte,6,21,54.7,777,18.6
Norte,6,22,58.7,643,77.1
Norte,6,23,58.4,632,62.6
Sur,0,0,41.3,122,92.1
Sur,0,1,46.2,657,48.2
Sur,0,2,41.2,187,68.6
Sur,0,3,44.3,240,49.2
Sur,0,4,40.6,507,26.9
Sur,0,5,48.0,317,45.5
Sur,0,6,40.1,150,39.2
Sur,0,7,22.2,520,29.2
Sur,0,8,25.4,702,78.0
Sur,0,9,15.6,436,10.5
Sur,0,10,32.4,790,14.2
Sur,0,11,35.0,532,70.2
Sur,0,12,35.6,106,32.6
Sur,0,13,35.2,161,35.1
Sur,0,14,30.3,155,39.7
Sur,0,15,31.3,497,68.9
Sur,0,16,38.0,240,16.7
Sur,0,17,16.6,545,70.6
Sur,0,18,15.5,755,5.2
Sur,0,19,23.1,596,87.1
Sur,0,20,47.1,661,33.9
Sur,0,21,48.1,156,89.5
Sur,0,22,45.5,672,45.2
Sur,0,23,46.4,468,73.2
Sur,1,0,40.8,142,24.7
Sur,1,1,41.6,710,21.9
Sur,1,2,49.8,335,18.2
Sur,1,3,47.9,561,49.8
Sur,1,4,45.6,603,22.8
Sur,1,5,50.0,782,65.0
Sur,1,6,42.0,576,7.2
Sur,1,7,15.5,280,46.3
Sur,1,8,28.0,609,74.3
Sur,1,9,21.4,342,37.1
Sur,1,10,39.9,128,86.7
Sur,1,11,35.8,407,72.5
Sur,1,12,34.9,711,90.1
Sur,1,13,34.2,293,59.2
Sur,1,14,39.1,247,62.3
Sur,1,15,36.3,613,13.2
Sur,1,16,37.2,736,18.0
Sur,1,17,18.6,779,18.1
Sur,1,18,27.8,444,24.7
Sur,1,19,28.1,411,51.5
Sur,1,20,43.6,515,16.4
Sur,1,21,43.9,778,25.8
Sur,1,22,46.6,327,77.3
Sur,1,23,41.3,778,45.4
Sur,2,0,42.4,151,17.0
Sur,2,1,45.2,335,82.9
Sur,2,2,44.3,274,61.7
Sur,2,3,47.1,216,16.8
Sur,2,4,40.4,615,66.4
Sur,2,5,44.7,690,80.6
Sur,2,6,45.9,707,20.6
Sur,2,7,16.7,288,5.7
Sur,2,8,23.0,755,3.9
Sur,2,9,16.8,416,93.4
Sur,2,10,33.2,455,4.2
Sur,2,11,31.5,790,96.5
Sur,2,12,30.0,766,63.9
Sur,2,13,38.7,418,51.6
Sur,2,14,34.9,566,14.0
Sur,2,15,30.3,315,70.5
Sur,2,16,32.0,571,97.0
Sur,2,17,16.4,570,44.4
Sur,2,18,28.0,224,69.3
Sur,2,19,27.6,761,68.3
Sur,2,20,45.0,532,86.9
Sur,2,21,45.7,121,93.1
Sur,2,22,46.9,573,21.6
Sur,2,23,46.6,375,65.1
Sur,3,0,41.1,560,99.9
Sur,3,1,40.5,784,40.7
Sur,3,2,48.7,647,56.7
Sur,3,3,47.4,714,40.4
Sur,3,4,43.3,567,80.8
Sur,3,5,47.6,658,43.6
Sur,3,6,48.2,184,54.4
Sur,3,7,15.1,327,36.6
Sur,3,8,20.9,586,38.9
Sur,3,9,21.7,266,37.3
Sur,3,10,32.3,151,60.3
Sur,3,11,36.7,533,46.3
Sur,3,12,33.8,704,51.9
Sur,3,13,34.8,117,34.1
Sur,3,14,33.8,379,58.0
Sur,3,15,35.3,525,76.5
Sur,3,16,38.1,602,95.6
Sur,3,17,15.3,237,0.8
Sur,3,18,24.7,728,24.3
Sur,3,19,28.9,142,93.4
Sur,3,20,43.5,170,48.6
Sur,3,21,42.6,299,30.7
Sur,3,22,48.0,477,31.1
Sur,3,23,46.1,601,27.3
Sur,4,0,44.1,185,18.1
Sur,4,1,46.8,227,52.5
Sur,4,2,47.1,174,56.7
Sur,4,3,42.6,774,48.4
Sur,4,4,48.1,485,4.3
Sur,4,5,46.3,765,60.2
Sur,4,6,48.2,718,22.8
Sur,4,7,18.2,527,41.1
Sur,4,8,27.6,730,35.3
Sur,4,9,18.6,646,27.5
Sur,4,10,38.2,396,66.8
Sur,4,11,31.0,536,45.2
Sur,4,12,35.9,217,73.7
Sur,4,13,38.6,251,9.6
Sur,4,14,30.2,549,60.7
Sur,4,15,35.5,262,39.1
Sur,4,16,35.9,447,98.8
Sur,4,17,17.0,586,40.4
Sur,4,18,21.4,602,69.2
Sur,4,19,29.9,189,10.4
Sur,4,20,47.2,504,27.4
Sur,4,21,40.8,159,89.4
Sur,4,22,41.9,326,22.7
Sur,4,23,43.5,148,51.9
Sur,5,0,50.7,660,23.4
Sur,5,1,55.4,716,65.1
Sur,5,2,55.3,327,33.3
Sur,5,3,56.7,795,66.2
Sur,5,4,55.6,611,46.5
Sur,5,5,50.6,493,95.8
Sur,5,6,51.8,583,20.1
Sur,5,7,33.0,167,45.0
Sur,5,8,36.3,343,66.5
Sur,5,9,36.9,749,23.5
Sur,5,10,44.0,206,99.2
Sur,5,11,49.3,477,84.2
Sur,5,12,45.2,536,8.9
Sur,5,13,47.6,189,82.6
Sur,5,14,47.8,596,3.6
Sur,5,15,43.0,284,36.0
Sur,5,16,40.9,755,55.4
Sur,5,17,29.6,377,44.7
Sur,5,18,34.0,460,91.9
Sur,5,19,32.5,794,85.1
Sur,5,20,52.1,751,11.6
Sur,5,21,58.2,366,87.8
Sur,5,22,58.7,664,79.0
Sur,5,23,53.0,156,40.3
Sur,6,0,51.7,586,34.6
Sur,6,1,59.8,548,82.2
Sur,6,2,51.3,703,92.3
Sur,6,3,54.9,524,76.5
Sur,6,4,51.7,451,39.9
Sur,6,5,51.5,357,6.8
Sur,6,6,50.3,194,96.3
Sur,6,7,33.2,776,43.2
Sur,6,8,29.7,454,44.0
Sur,6,9,26.6,548,21.6
Sur,6,10,46.2,555,15.2
Sur,6,11,40.6,646,46.0
Sur,6,12,40.6,796,5.8
Sur,6,13,47.0,788,23.9
Sur,6,14,41.4,184,30.3
Sur,6,15,41.0,584,6.2
Sur,6,16,45.1,797,81.4
Sur,6,17,34.2,314,62.4
Sur,6,18,32.9,398,13.1
Sur,6,19,38.3,414,19.5
Sur,6,20,53.7,389,82.8
Sur,6,21,57.3,638,1.1
Sur,6,22,54.2,436,1.9
Sur,6,23,52.6,632,13.7
Oriente,0,0,45.4,250,1.2
Oriente,0,1,42.4,783,80.2
Oriente,0,2,49.6,441,11.0
Oriente,0,3,45.5,418,84.4
Oriente,0,4,41.0,441,15.0
Oriente,0,5,43.2,616,47.6
Oriente,0,6,43.8,376,45.9
Oriente,0,7,26.8,724,95.5
Oriente,0,8,26.8,320,68.8
Oriente,0,9,21.6,278,84.1
Oriente,0,10,30.4,731,46.1
Oriente,0,11,36.4,561,89.5
Oriente,0,12,36.4,529,6.7
Oriente,0,13,35.2,205,73.7
Oriente,0,14,35.1,576,4.2
Oriente,0,15,30.8,601,7.2
Oriente,0,16,30.7,108,95.7
Oriente,0,17,26.1,347,29.7
Oriente,0,18,20.2,642,66.1
Oriente,0,19,17.8,221,9.8
Oriente,0,20,46.6,635,26.5
Oriente,0,21,40.2,157,96.8
Oriente,0,22,43.0,638,62.5
Oriente,0,23,43.8,243,12.1
Oriente,1,0,46.2,642,64.4
Oriente,1,1,45.3,129,96.8
Oriente,1,2,48.0,304,98.0
Oriente,1,3,46.0,507,74.8
Oriente,1,4,48.1,559,12.8
Oriente,1,5,43.4,749,22.5
Oriente,1,6,43.7,402,43.9
Oriente,1,7,24.2,760,24.1
Oriente,1,8,16.8,238,88.7
Oriente,1,9,24.7,300,81.6
Oriente,1,10,38.6,692,91.9
Oriente,1,11,32.5,628,46.1
Oriente,1,12,38.4,609,77.6
Oriente,1,13,36.6,224,54.5
Oriente,1,14,39.8,756,4.3
Oriente,1,15,31.6,192,72.6
Oriente,1,16,38.2,249,50.6
Oriente,1,17,27.6,612,54.2
Oriente,1,18,23.9,455,29.8
Oriente,1,19,23.5,582,87.3
Oriente,1,20,46.4,632,16.0
Oriente,1,21,44.6,106,24.7
Oriente,1,22,47.3,794,9.9
Oriente,1,23,44.0,660,20.4
Oriente,2,0,45.6,613,61.6
Oriente,2,1,41.9,348,78.4
Oriente,2,2,45.5,103,76.1
Oriente,2,3,40.4,622,20.2
Oriente,2,4,49.6,357,32.7
Oriente,2,5,41.5,313,87.7
Oriente,2,6,50.0,357,44.9
Oriente,2,7,25.8,720,59.3
Oriente,2,8,20.9,388,69.6
Oriente,2,9,15.0,533,35.5
Oriente,2,10,37.9,165,58.8
Oriente,2,11,34.8,549,6.5
Oriente,2,12,35.8,493,56.1
Oriente,2,13,36.0,573,80.5
Oriente,2,14,32.7,677,49.8
Oriente,2,15,30.8,140,33.4
Oriente,2,16,37.8,595,78.9
Oriente,2,17,22.8,408,14.7
Oriente,2,18,19.9,403,8.9
Oriente,2,19,18.3,518,73.6
Oriente,2,20,50.0,753,64.3
Oriente,2,21,44.2,545,78.6
Oriente,2,22,41.2,386,84.0
Oriente,2,23,43.8,500,58.8
Oriente,3,0,41.8,353,33.5
Oriente,3,1,40.3,116,83.2
Oriente,3,2,42.7,462,29.9
Oriente,3,3,49.4,281,43.0
Oriente,3,4,48.7,689,18.6
Oriente,3,5,48.0,420,48.3
Oriente,3,6,41.3,156,72.8
Oriente,3,7,22.4,405,73.0
Oriente,3,8,26.5,211,61.0
Oriente,3,9,17.0,625,65.7
Oriente,3,10,39.6,148,5.7
Oriente,3,11,32.8,283,24.7
Oriente,3,12,39.1,274,27.2
Oriente,3,13,37.6,414,77.7
Oriente,3,14,30.7,441,3.4
Oriente,3,15,30.6,734,13.9
Oriente,3,16,35.3,387,34.7
Oriente,3,17,28.5,115,66.4
Oriente,3,18,29.5,492,93.7
Oriente,3,19,15.8,393,26.0
Oriente,3,20,47.3,786,25.7
Oriente,3,21,46.5,238,56.5
Oriente,3,22,44.6,780,60.9
Oriente,3,23,43.5,179,15.1
Oriente,4,0,42.3,275,85.1
Oriente,4,1,45.6,466,11.5
Oriente,4,2,48.6,605,6.8
Oriente,4,3,47.1,480,8.2
Oriente,4,4,44.6,439,16.6
Oriente,4,5,49.5,694,66.9
Oriente,4,6,44.6,388,65.1
Oriente,4,7,23.2,143,51.3
Oriente,4,8,27.1,421,5.2
Oriente,4,9,26.8,240,25.9
Oriente,4,10,31.6,331,75.7
Oriente,4,11,35.2,243,87.8
Oriente,4,12,38.8,709,23.9
Oriente,4,13,34.5,789,77.2
Oriente,4,14,30.3,145,46.4
Oriente,4,15,39.1,477,49.8
Oriente,4,16,31.1,559,82.2
Oriente,4,17,20.7,642,96.4
Oriente,4,18,18.1,466,28.7
Oriente,4,19,26.9,504,63.5
Oriente,4,20,48.0,377,91.5
Oriente,4,21,45.3,210,69.6
Oriente,4,22,47.9,321,85.7
Oriente,4,23,49.1,293,98.4
Oriente,5,0,51.4,241,18.4
Oriente,5,1,58.9,558,15.2
Oriente,5,2,54.4,530,8.3
Oriente,5,3,58.8,662,50.5
Oriente,5,4,59.7,392,98.4
Oriente,5,5,56.7,544,16.6
Oriente,5,6,58.8,399,16.2
Oriente,5,7,25.2,491,52.7
Oriente,5,8,35.8,723,7.9
Oriente,5,9,36.0,231,85.8
Oriente,5,10,48.2,478,71.0
Oriente,5,11,43.1,429,82.2
Oriente,5,12,44.6,350,49.4
Oriente,5,13,48.3,334,17.4
Oriente,5,14,47.1,678,10.1
Oriente,5,15,42.4,199,34.8
Oriente,5,16,44.5,624,65.1
Oriente,5,17,34.3,346,84.1
Oriente,5,18,32.1,785,63.4
Oriente,5,19,26.9,573,32.5
Oriente,5,20,56.9,148,17.5
Oriente,5,21,58.6,259,83.7
Oriente,5,22,52.8,550,69.4
Oriente,5,23,55.1,313,21.3
Oriente,6,0,50.3,312,65.3
Oriente,6,1,59.4,709,76.6
Oriente,6,2,57.9,565,26.0
Oriente,6,3,59.1,569,56.0
Oriente,6,4,51.1,412,46.0
Oriente,6,5,58.6,482,38.0
Oriente,6,6,59.8,177,42.3
Oriente,6,7,25.6,617,91.8
Oriente,6,8,29.2,700,29.2
Oriente,6,9,38.7,627,80.5
Oriente,6,10,40.2,773,72.7
Oriente,6,11,43.0,680,28.2
Oriente,6,12,48.7,178,70.4
Oriente,6,13,45.4,167,24.2
Oriente,6,14,40.1,428,30.1
Oriente,6,15,46.0,308,30.0
Oriente,6,16,47.4,133,90.3
Oriente,6,17,37.8,567,59.3
Oriente,6,18,38.4,229,7.9
Oriente,6,19,28.6,656,3.5
Oriente,6,20,55.8,796,85.6
Oriente,6,21,55.2,144,83.1
Oriente,6,22,56.0,180,9.4
Oriente,6,23,59.1,568,82.9
Occidente,0,0,48.8,500,51.7
Occidente,0,1,44.3,321,43.5
Occidente,0,2,47.7,521,89.3
Occidente,0,3,44.4,524,63.1
Occidente,0,4,45.9,591,23.7
Occidente,0,5,45.1,172,38.5
Occidente,0,6,44.9,556,95.1
Occidente,0,7,24.0,620,50.6
Occidente,0,8,24.5,149,25.4
Occidente,0,9,20.4,430,4.6
Occidente,0,10,31.4,293,97.2
Occidente,0,11,33.3,437,19.6
Occidente,0,12,36.1,296,20.7
Occidente,0,13,35.2,103,0.8
Occidente,0,14,32.2,125,10.8
Occidente,0,15,33.4,661,57.2
Occidente,0,16,35.1,305,93.2
Occidente,0,17,21.0,160,61.7
Occidente,0,18,16.7,341,50.7
Occidente,0,19,28.1,445,70.2
Occidente,0,20,49.9,192,27.5
Occidente,0,21,43.9,395,41.1
Occidente,0,22,49.1,599,60.8
Occidente,0,23,43.1,676,95.5
Occidente,1,0,48.2,101,63.6
Occidente,1,1,40.5,280,6.0
Occidente,1,2,46.0,580,11.4
Occidente,1,3,43.8,419,36.9
Occidente,1,4,41.2,393,75.1
Occidente,1,5,40.7,156,35.5
Occidente,1,6,49.4,568,67.9
Occidente,1,7,20.4,515,1.0
Occidente,1,8,24.5,739,61.3
Occidente,1,9,28.1,606,12.1
Occidente,1,10,39.0,146,53.4
Occidente,1,11,31.4,108,42.2
Occidente,1,12,33.0,440,57.7
Occidente,1,13,30.4,186,55.9
Occidente,1,14,33.4,610,65.2
Occidente,1,15,38.5,584,43.0
Occidente,1,16,36.7,292,30.6
Occidente,1,17,26.8,412,79.8
Occidente,1,18,27.3,700,91.7
Occidente,1,19,21.5,323,58.2
Occidente,1,20,43.7,520,70.6
Occidente,1,21,46.9,362,16.7
Occidente,1,22,44.3,199,89.0
Occidente,1,23,43.5,208,2.5
Occidente,2,0,46.5,545,34.1
Occidente,2,1,40.7,386,31.1
Occidente,2,2,46.8,524,36.5
Occidente,2,3,42.2,791,45.4
Occidente,2,4,46.9,198,48.6
Occidente,2,5,40.3,453,96.4
Occidente,2,6,43.8,127,3.1
Occidente,2,7,20.8,212,2.3
Occidente,2,8,26.3,420,28.9
Occidente,2,9,28.5,181,95.6
Occidente,2,10,33.1,721,60.3
Occidente,2,11,38.3,788,28.8
Occidente,2,12,39.6,372,38.6
Occidente,2,13,33.4,478,15.4
Occidente,2,14,35.5,479,76.2
Occidente,2,15,38.3,408,30.2
Occidente,2,16,32.6,236,5.8
Occidente,2,17,20.1,289,96.6
Occidente,2,18,23.4,343,58.0
Occidente,2,19,17.1,410,62.6
Occidente,2,20,44.9,381,99.4
Occidente,2,21,48.8,536,56.9
Occidente,2,22,46.2,240,39.5
Occidente,2,23,40.4,432,54.3
Occidente,3,0,42.3,774,90.9
Occidente,3,1,47.2,473,87.0
Occidente,3,2,41.3,653,12.5
Occidente,3,3,47.9,293,87.7
Occidente,3,4,49.4,204,46.3
Occidente,3,5,49.8,438,86.4
Occidente,3,6,45.9,362,28.6
Occidente,3,7,18.0,633,38.7
Occidente,3,8,22.7,444,57.7
Occidente,3,9,28.0,786,40.8
Occidente,3,10,38.3,635,57.4
Occidente,3,11,39.6,240,10.9
Occidente,3,12,38.5,407,84.7
Occidente,3,13,38.9,143,88.3
Occidente,3,14,34.5,457,62.7
