id_cliente,nombre,municipio,departamento,latitud,longitud,capacidad_kg,horario_apertura,horario_cierre,prioridad,frecuencia_entrega,valor_pedido
C00023,Cliente SAN JOSÉ DE LA MONTAÑA 23,SAN JOSÉ DE LA MONTAÑA,ANTIOQUIA,6.837593265192549,-75.68466990379193,500,08:00,18:00,3,semanal,3243605.312526777
C00024,Cliente GÓMEZ PLATA 24,GÓMEZ PLATA,ANTIOQUIA,6.727183769579584,-75.19680002915649,100,09:00,17:00,3,mensual,1084904.5226516826
C00025,Cliente TORO 25,TORO,VALLE DEL CAUCA,4.653514853135239,-76.09074409489139,500,09:00,18:00,3,semanal,1341104.4154105247
C00026,Cliente ANSERMANUEVO 26,ANSERMANUEVO,VALLE DEL CAUCA,4.779651402712236,-76.01374185968187,1000,09:00,19:00,2,semanal,3516771.258365218
C00027,Cliente BOLÍVAR 27,BOLÍVAR,VALLE DEL CAUCA,4.407371832675123,-76.35364006491511,50,09:00,20:00,1,diario,4497843.233209042
C00028,Cliente RETIRO 28,RETIRO,ANTIOQUIA,6.056671718857459,-75.52084673933753,50,08:00,17:00,1,diario,2766232.2573646014
C00029,Cliente GUADALUPE 29,GUADALUPE,ANTIOQUIA,6.859513290719449,-75.20613473149557,500,06:00,20:00,2,semanal,3745132.4553342196
C00030,Cliente ANDALUCÍA 30,ANDALUCÍA,VALLE DEL CAUCA,4.163081048922263,-76.15179581302992,50,09:00,20:00,3,semanal,1289786.0020976416
C00031,Cliente SEVILLA 31,SEVILLA,VALLE DEL CAUCA,4.2123323411900975,-75.89245772101333,200,08:00,18:00,2,semanal,3361174.095332343
C00032,Cliente JARDÍN 32,JARDÍN,ANTIOQUIA,5.57441207419539,-75.81554558203163,50,09:00,17:00,3,semanal,1433823.691893955
C00033,Cliente AMALFI 33,AMALFI,ANTIOQUIA,6.9725951910102175,-75.00062103533884,1000,06:00,18:00,3,mensual,4272396.804563432
C00034,Cliente TRUJILLO 34,TRUJILLO,VALLE DEL CAUCA,4.247313582860674,-76.35025010979375,100,06:00,18:00,3,semanal,2871802.7919423566
C00035,Cliente BURITICÁ 35,BURITICÁ,ANTIOQUIA,6.7974216387046145,-75.90522020932704,100,08:00,19:00,2,semanal,4250915.484877138
C00036,Cliente CANDELARIA 36,CANDELARIA,VALLE DEL CAUCA,3.3901909273594844,-76.38879698395121,1000,07:00,19:00,3,semanal,3076992.8687851187
C00037,Cliente ITUANGO 37,ITUANGO,ANTIOQUIA,7.342003413954437,-75.6783621182125,1000,09:00,17:00,1,semanal,301304.2286450148
C00038,Cliente URRAO 38,URRAO,ANTIOQUIA,6.328861146274062,-76.26404150189441,100,09:00,19:00,3,semanal,817456.0028023338
C00039,Cliente ZARAGOZA 39,ZARAGOZA,ANTIOQUIA,7.487561346082775,-74.84406707526753,50,09:00,18:00,3,semanal,678949.5376268297
C00040,Cliente ANGELÓPOLIS 40,ANGELÓPOLIS,ANTIOQUIA,6.132230045123944,-75.72731681890014,1000,08:00,20:00,3,diario,2086201.8300305589
C00041,Cliente SAN ROQUE 41,SAN ROQUE,ANTIOQUIA,6.471662407059928,-74.93602954665108,1000,07:00,20:00,3,diario,2024163.462151733
C00042,Cliente BELLO 42,BELLO,ANTIOQUIA,6.356399942828226,-75.60659762474631,1000,07:00,17:00,1,semanal,3458074.508788564
C00043,Cliente ANSERMANUEVO 43,ANSERMANUEVO,VALLE DEL CAUCA,4.7828590648028335,-76.04337300829316,100,09:00,18:00,1,diario,4676339.286831563
C00044,Cliente ANSERMANUEVO 44,ANSERMANUEVO,VALLE DEL CAUCA,4.814121903226527,-76.02011461333217,1000,07:00,17:00,3,semanal,1812064.7593237448
C00045,Cliente SABANALARGA 45,SABANALARGA,ANTIOQUIA,6.88157624554519,-75.80758463437972,1000,08:00,17:00,2,mensual,917884.8359522257
C00046,Cliente FLORIDA 46,FLORIDA,VALLE DEL CAUCA,3.28801766142604,-76.16510843499532,500,06:00,18:00,3,semanal,3098457.9853584715
C00047,Cliente MARINILLA 47,MARINILLA,ANTIOQUIA,6.200672365491922,-75.31444358506634,100,07:00,19:00,3,mensual,3310533.476513778
C00048,Cliente ALEJANDRÍA 48,ALEJANDRÍA,ANTIOQUIA,6.370168171575597,-75.07284135581757,100,06:00,20:00,3,mensual,2898597.1804856006
C00049,Cliente VERSALLES 49,VERSALLES,VALLE DEL CAUCA,4.649974169737694,-76.26091471438033,200,08:00,17:00,3,mensual,3274849.6206960506
C00050,Cliente DONMATÍAS 50,DONMATÍAS,ANTIOQUIA,6.480235550391572,-75.439502417965,100,06:00,19:00,3,semanal,3295827.045134674
C00051,Cliente SAN JOSÉ DE LA MONTAÑA 51,SAN JOSÉ DE LA MONTAÑA,ANTIOQUIA,6.837053925438778,-75.69677738257057,100,08:00,17:00,3,semanal,1774266.192043327
C00052,Cliente NECHÍ 52,NECHÍ,ANTIOQUIA,7.998576274541082,-74.64903901824785,1000,06:00,17:00,3,semanal,2864175.4045622936
C00053,Cliente SAN ROQUE 53,SAN ROQUE,ANTIOQUIA,6.462669918076457,-74.95019247656829,1000,09:00,17:00,3,mensual,1229268.9543996982
C00054,Cliente CARACOLÍ 54,CARACOLÍ,ANTIOQUIA,6.3540759962671824,-74.7333380751021,50,07:00,17:00,3,semanal,103646.37482747689
C00055,Cliente JAMUNDÍ 55,JAMUNDÍ,VALLE DEL CAUCA,3.1975438560714453,-76.6348316344964,500,08:00,18:00,3,semanal,1501393.3199054194
C00056,Cliente CÁCERES 56,CÁCERES,ANTIOQUIA,7.667303227093832,-75.23518832419903,1000,08:00,20:00,3,diario,2497380.508277778
C00057,Cliente ZARZAL 57,ZARZAL,VALLE DEL CAUCA,4.373435999681213,-76.0684185138129,200,08:00,17:00,2,diario,757808.8261615374
C00058,Cliente NECOCLÍ 58,NECOCLÍ,ANTIOQUIA,8.507207105969496,-76.66232113178758,1000,09:00,18:00,2,mensual,775693.8673755261
C00059,Cliente CAÑASGORDAS 59,CAÑASGORDAS,ANTIOQUIA,6.7983435315634075,-76.00743073685996,1000,06:00,18:00,3,mensual,4930705.265923211
C00060,Cliente BUENAVENTURA 60,BUENAVENTURA,VALLE DEL CAUCA,3.487349495868013,-77.11040107217667,200,06:00,20:00,3,semanal,4536454.206218943
C00061,Cliente CONCEPCIÓN 61,CONCEPCIÓN,ANTIOQUIA,6.373484260779532,-75.22771172304508,100,09:00,18:00,1,diario,631754.9215466692
C00062,Cliente SEGOVIA 62,SEGOVIA,ANTIOQUIA,7.276691856277732,-74.61439768291612,500,07:00,17:00,2,semanal,4349565.684537828
C00063,Cliente YUMBO 63,YUMBO,VALLE DEL CAUCA,3.5933671022642626,-76.49890353003893,1000,09:00,17:00,1,mensual,2662120.489977184
C00064,Cliente VIJES 64,VIJES,VALLE DEL CAUCA,3.7458130613760527,-76.45187507857524,100,08:00,17:00,2,semanal,4979365.3063953845
C00065,Cliente GUADALUPE 65,GUADALUPE,ANTIOQUIA,6.864948897476924,-75.20986670958037,50,08:00,20:00,3,diario,2002882.903110243
C00066,Cliente PALMIRA 66,PALMIRA,VALLE DEL CAUCA,3.5631981799120616,-76.23670447268074,500,09:00,18:00,2,semanal,1366392.7285729828
C00067,Cliente SANTA BÁRBARA 67,SANTA BÁRBARA,ANTIOQUIA,5.897960748306646,-75.5638552802208,50,06:00,17:00,3,semanal,1391240.330449893
C00068,Cliente EL CAIRO 68,EL CAIRO,VALLE DEL CAUCA,4.772500788379754,-76.20212677028307,100,08:00,20:00,3,mensual,459604.67917476536
C00069,Cliente CARACOLÍ 69,CARACOLÍ,ANTIOQUIA,6.352616435580016,-74.75173942319576,50,07:00,17:00,3,mensual,1914857.9011928067
C00070,Cliente CAICEDO 70,CAICEDO,ANTIOQUIA,6.418699273265241,-75.97471840408741,200,06:00,17:00,1,diario,712567.9880631343
C00071,Cliente LA UNIÓN 71,LA UNIÓN,VALLE DEL CAUCA,4.520192410866037,-76.0887009349498,50,06:00,19:00,3,mensual,2946490.185011086
C00072,Cliente GRANADA 72,GRANADA,ANTIOQUIA,6.141171350195298,-75.1136505643729,50,06:00,18:00,2,semanal,1409922.3952782485
C00073,Cliente ALEJANDRÍA 73,ALEJANDRÍA,ANTIOQUIA,6.3546798372201385,-75.08372899262378,100,09:00,19:00,2,semanal,2625523.119473777
C00074,Cliente VEGACHÍ 74,VEGACHÍ,ANTIOQUIA,6.8497899816025,-74.76171911040916,50,07:00,20:00,3,mensual,2047240.1877513654
C00075,Cliente TOLEDO 75,TOLEDO,ANTIOQUIA,7.015598907680739,-75.7168123888534,1000,06:00,18:00,3,semanal,725038.8041545104
C00076,Cliente COCORNÁ 76,COCORNÁ,ANTIOQUIA,6.009916587981675,-75.1546882571351,200,08:00,19:00,3,semanal,2282006.714709717
C00077,Cliente PUEBLORRICO 77,PUEBLORRICO,ANTIOQUIA,5.805563571292851,-75.85588320199089,200,06:00,17:00,3,semanal,4218352.504342613
C00078,Cliente BARBOSA 78,BARBOSA,ANTIOQUIA,6.433747710531959,-75.33087541975047,100,07:00,17:00,2,semanal,2919267.175635105
C00079,Cliente URRAO 79,URRAO,ANTIOQUIA,6.336831876668563,-76.26066005364066,200,07:00,20:00,3,diario,1761053.0524531228
C00080,Cliente SAN PEDRO DE LOS MILAGROS 80,SAN PEDRO DE LOS MILAGROS,ANTIOQUIA,6.457624773610514,-75.55578159045916,100,06:00,18:00,2,mensual,1758159.0077208143
C00081,Cliente JARDÍN 81,JARDÍN,ANTIOQUIA,5.555716526259407,-75.81647713763171,1000,06:00,20:00,2,semanal,2541915.4907315415
C00082,Cliente EL BAGRE 82,EL BAGRE,ANTIOQUIA,7.697496661587201,-74.68058563655086,50,07:00,19:00,3,diario,1917565.5279482594
C00083,Cliente PUERTO NARE 83,PUERTO NARE,ANTIOQUIA,6.117614244925888,-74.69092916880828,50,08:00,17:00,3,semanal,4624006.707581794
C00084,Cliente ARBOLETES 84,ARBOLETES,ANTIOQUIA,8.616125452861212,-76.42002662441722,100,06:00,18:00,1,semanal,3581080.4501285343
C00085,Cliente TITIRIBÍ 85,TITIRIBÍ,ANTIOQUIA,6.072127597905346,-75.78967540071966,500,06:00,18:00,3,semanal,1250228.9929919117
C00086,Cliente VENECIA 86,VENECIA,ANTIOQUIA,5.951667721524185,-75.7964213820889,50,06:00,19:00,1,semanal,1204421.237171516
C00087,Cliente APARTADÓ 87,APARTADÓ,ANTIOQUIA,7.8642218481421615,-76.57519854723422,200,06:00,17:00,3,semanal,3697271.253204819
C00088,Cliente TITIRIBÍ 88,TITIRIBÍ,ANTIOQUIA,6.068167549967374,-75.80239366815081,200,07:00,17:00,2,mensual,3057398.3503531856
C00089,Cliente ITAGÜÍ 89,ITAGÜÍ,ANTIOQUIA,6.198740047951719,-75.60997270722572,50,06:00,18:00,2,semanal,2464658.5140032526
C00090,Cliente SAN JUAN DE URABÁ 90,SAN JUAN DE URABÁ,ANTIOQUIA,8.694604263962052,-76.54107853325225,50,08:00,19:00,3,semanal,4912774.1536976015
C00091,Cliente AMALFI 91,AMALFI,ANTIOQUIA,6.973703066961829,-74.96246048266899,500,08:00,18:00,3,semanal,3628335.6782777896
C00092,Cliente JERICÓ 92,JERICÓ,ANTIOQUIA,5.786995575565103,-75.76261204427945,100,08:00,17:00,3,diario,1652212.2202010062
C00093,Cliente BELLO 93,BELLO,ANTIOQUIA,6.346821363093532,-75.58028599265207,500,08:00,17:00,3,semanal,2927129.196041931
C00094,Cliente DAGUA 94,DAGUA,VALLE DEL CAUCA,3.6671027916902776,-76.72756778231363,200,06:00,18:00,2,diario,363706.10384020035
C00095,Cliente ARGELIA 95,ARGELIA,VALLE DEL CAUCA,4.69718201779899,-76.12925501216581,50,08:00,17:00,1,diario,2392172.6952068666
C00096,Cliente COCORNÁ 96,COCORNÁ,ANTIOQUIA,6.002066710565891,-75.16619929933829,50,06:00,18:00,3,semanal,4668043.432144775
C00097,Cliente CANDELARIA 97,CANDELARIA,VALLE DEL CAUCA,3.3702916364021296,-76.38800748660144,50,09:00,20:00,3,mensual,741873.264300133
C00098,Cliente SEGOVIA 98,SEGOVIA,ANTIOQUIA,7.276943466990613,-74.60965777476322,200,06:00,17:00,3,semanal,2639173.852607141
C00099,Cliente BUENAVENTURA 99,BUENAVENTURA,VALLE DEL CAUCA,3.48598862929186,-77.1151960529682,100,09:00,20:00,3,semanal,2340264.939064552
C00100,Cliente YUMBO 100,YUMBO,VALLE DEL CAUCA,3.5975049114765856,-76.51343811298447,50,06:00,17:00,3,semanal,2740586.6625142437
C00101,Cliente EL SANTUARIO 101,EL SANTUARIO,ANTIOQUIA,6.113370510636991,-75.25040880757545,200,08:00,19:00,2,diario,3980424.686887965
C00102,Cliente SAN PEDRO 102,SAN PEDRO,VALLE DEL CAUCA,3.9812493850561586,-76.19870324355443,200,09:00,17:00,2,semanal,1280021.2420816054
C00103,Cliente EL CARMEN DE VIBORAL 103,EL CARMEN DE VIBORAL,ANTIOQUIA,5.959420138389431,-75.26074051260514,100,06:00,19:00,3,diario,2705582.689848744
C00104,Cliente ENVIGADO 104,ENVIGADO,ANTIOQUIA,6.16825301366938,-75.56176824350672,1000,09:00,17:00,3,semanal,3870815.8039613133
C00105,Cliente RIOFRÍO 105,RIOFRÍO,VALLE DEL CAUCA,4.115146203315413,-76.36329649222132,500,07:00,19:00,3,mensual,4797420.233091937
C00106,Cliente EL SANTUARIO 106,EL SANTUARIO,ANTIOQUIA,6.127545166790645,-75.25608872332944,100,07:00,19:00,2,semanal,2554148.9604781065
C00107,Cliente TITIRIBÍ 107,TITIRIBÍ,ANTIOQUIA,6.067393794442496,-75.79594153378964,500,09:00,20:00,3,mensual,3550831.239851323
C00108,Cliente SONSÓN 108,SONSÓN,ANTIOQUIA,5.83723864574079,-74.84139881521118,50,07:00,19:00,3,mensual,4631564.138888543
C00109,Cliente OBANDO 109,OBANDO,VALLE DEL CAUCA,4.58250109727383,-75.9597634586162,100,07:00,20:00,2,mensual,4355986.992207535
C00110,Cliente GUARNE 110,GUARNE,ANTIOQUIA,6.255721527835084,-75.43299223424823,50,06:00,17:00,2,mensual,3038421.582064188
C00111,Cliente CAUCASIA 111,CAUCASIA,ANTIOQUIA,7.863868539743637,-75.03352241588249,200,07:00,18:00,3,semanal,4596350.88844954
C00112,Cliente ANDALUCÍA 112,ANDALUCÍA,VALLE DEL CAUCA,4.1422984209176,-76.1625358293547,200,07:00,20:00,3,diario,217701.84322064518
C00113,Cliente TULUÁ 113,TULUÁ,VALLE DEL CAUCA,4.022903725964666,-76.02928025598888,100,09:00,18:00,3,diario,4807298.071473803
C00114,Cliente LA CUMBRE 114,LA CUMBRE,VALLE DEL CAUCA,3.690888070949081,-76.60648506327685,1000,09:00,17:00,2,semanal,2016724.6715151095
C00115,Cliente YOLOMBÓ 115,YOLOMBÓ,ANTIOQUIA,6.656419140882972,-75.03592718003803,1000,06:00,17:00,2,mensual,2957895.340958668
C00116,Cliente MEDELLÍN 116,MEDELLÍN,ANTIOQUIA,6.2686113636678,-75.61289951661007,100,07:00,20:00,3,semanal,3838513.5912778913
C00117,Cliente BUENAVENTURA 117,BUENAVENTURA,VALLE DEL CAUCA,3.480617891219811,-77.10425689515947,200,09:00,18:00,2,semanal,2073234.1469355773
C00118,Cliente SABANETA 118,SABANETA,ANTIOQUIA,6.157462440424639,-75.59521443562173,1000,09:00,17:00,3,semanal,1020759.8434825914
C00119,Cliente MUTATÁ 119,MUTATÁ,ANTIOQUIA,7.313722191279383,-76.45106905658507,200,08:00,17:00,3,mensual,4036309.08842163
C00120,Cliente SALGAR 120,SALGAR,ANTIOQUIA,5.979393011274226,-75.96714465127575,200,09:00,20:00,3,diario,2061641.925953934
C00121,Cliente GUARNE 121,GUARNE,ANTIOQUIA,6.282479135740845,-75.45678793305956,50,08:00,17:00,1,diario,2936055.726799976
C00122,Cliente PUERTO TRIUNFO 122,PUERTO TRIUNFO,ANTIOQUIA,5.970537019443079,-74.67349405753046,500,08:00,18:00,3,semanal,219429.14856161916
C00123,Cliente BETANIA 123,BETANIA,ANTIOQUIA,5.732047241313965,-75.99051460391235,50,07:00,17:00,2,mensual,3829848.681090816
C00124,Cliente BURITICÁ 124,BURITICÁ,ANTIOQUIA,6.793634407036816,-75.90943488520134,200,07:00,19:00,3,semanal,161223.07618458112
C00125,Cliente ARBOLETES 125,ARBOLETES,ANTIOQUIA,8.621062739769147,-76.40682933587357,50,08:00,17:00,2,mensual,4922790.794482583
C00126,Cliente CAÑASGORDAS 126,CAÑASGORDAS,ANTIOQUIA,6.801817194433932,-76.03600402693922,200,07:00,18:00,3,mensual,2515549.2298794785
C00127,Cliente CAROLINA 127,CAROLINA,ANTIOQUIA,6.756988562100632,-75.29984972446591,100,09:00,19:00,2,diario,1355234.8230413513
C00128,Cliente CARAMANTA 128,CARAMANTA,ANTIOQUIA,5.5702308991025005,-75.62692443591318,500,06:00,17:00,3,semanal,4198629.467732564
C00129,Cliente YARUMAL 129,YARUMAL,ANTIOQUIA,6.985012342382027,-75.46024471493756,200,06:00,19:00,1,mensual,387836.04150275333
C00130,Cliente SANTA FÉ DE ANTIOQUIA 130,SANTA FÉ DE ANTIOQUIA,ANTIOQUIA,6.527259325470828,-75.9100396713414,50,08:00,19:00,3,mensual,2013414.3966076686
C00131,Cliente PALMIRA 131,PALMIRA,VALLE DEL CAUCA,3.5758660655729906,-76.21849683611158,50,07:00,20:00,3,diario,4215571.818534715
C00132,Cliente PUERTO NARE 132,PUERTO NARE,ANTIOQUIA,6.126393788888049,-74.69930350604332,100,06:00,18:00,3,semanal,1790123.797614383
C00133,Cliente ANSERMANUEVO 133,ANSERMANUEVO,VALLE DEL CAUCA,4.795746944648248,-76.0220943941429,100,06:00,19:00,1,diario,61579.98359760238
C00134,Cliente SANTA ROSA DE OSOS 134,SANTA ROSA DE OSOS,ANTIOQUIA,6.679437051674763,-75.4437043741224,500,08:00,19:00,3,mensual,3468273.1506059207
C00135,Cliente ENVIGADO 135,ENVIGADO,ANTIOQUIA,6.1378631304744875,-75.52854095827983,200,09:00,19:00,3,semanal,3476768.99436337
C00136,Cliente CÁCERES 136,CÁCERES,ANTIOQUIA,7.681289657505441,-75.2178308432353,200,07:00,17:00,3,diario,3542597.103952658
C00137,Cliente GINEBRA 137,GINEBRA,VALLE DEL CAUCA,3.731327423805093,-76.1881022307779,100,08:00,18:00,2,mensual,1003365.1875388706
C00138,Cliente MUTATÁ 138,MUTATÁ,ANTIOQUIA,7.3484001778066155,-76.44529504043547,100,08:00,18:00,1,semanal,2636051.1515522865
C00139,Cliente SANTO DOMINGO 139,SANTO DOMINGO,ANTIOQUIA,6.46252443738862,-75.13875017486072,200,09:00,20:00,3,mensual,2674812.4065427557
C00140,Cliente TÁMESIS 140,TÁMESIS,ANTIOQUIA,5.676655681377338,-75.69764066082396,500,06:00,18:00,2,semanal,4435589.853769126
C00141,Cliente TÁMESIS 141,TÁMESIS,ANTIOQUIA,5.6630769499901445,-75.72882370873774,100,07:00,18:00,1,diario,1950621.2551026423
C00142,Cliente SAN PEDRO DE LOS MILAGROS 142,SAN PEDRO DE LOS MILAGROS,ANTIOQUIA,6.470617637430946,-75.54256653557867,500,06:00,18:00,1,diario,2424917.5679396987
C00143,Cliente ARMENIA 143,ARMENIA,ANTIOQUIA,6.178630842567454,-75.79059194123202,100,07:00,17:00,2,semanal,3674745.4455639934
C00144,Cliente ABRIAQUÍ 144,ABRIAQUÍ,ANTIOQUIA,6.626261808661505,-76.09409744494181,100,09:00,18:00,2,diario,138475.97693039838
C00145,Cliente NARIÑO 145,NARIÑO,ANTIOQUIA,5.565654015947165,-75.19890498437837,500,09:00,19:00,3,mensual,492584.4614456846
C00146,Cliente CONCEPCIÓN 146,CONCEPCIÓN,ANTIOQUIA,6.391270919302487,-75.20006972910834,200,07:00,17:00,3,mensual,371682.7269403254
C00147,Cliente MUTATÁ 147,MUTATÁ,ANTIOQUIA,7.347267118965405,-76.4570798340403,1000,08:00,17:00,2,diario,1951248.5268816852
C00148,Cliente ABRIAQUÍ 148,ABRIAQUÍ,ANTIOQUIA,6.640617605831758,-76.0739467725148,50,06:00,19:00,3,semanal,1338155.17136006
C00149,Cliente VERSALLES 149,VERSALLES,VALLE DEL CAUCA,4.654572180028164,-76.25140400527785,200,09:00,19:00,2,semanal,2708023.393322397
C00150,Cliente NARIÑO 150,NARIÑO,ANTIOQUIA,5.597072169649113,-75.18016511734328,200,06:00,20:00,2,diario,4449302.9953514375
C00151,Cliente PRADERA 151,PRADERA,VALLE DEL CAUCA,3.4347243913338805,-76.19700151526327,50,06:00,19:00,1,semanal,1894808.159210954
C00152,Cliente MUTATÁ 152,MUTATÁ,ANTIOQUIA,7.33738641971399,-76.48111435673307,100,07:00,17:00,2,semanal,426847.7544769859
C00153,Cliente PUERTO NARE 153,PUERTO NARE,ANTIOQUIA,6.108999820049569,-74.6878609692345,1000,08:00,18:00,3,semanal,2741705.5945871263
C00154,Cliente EL CARMEN DE VIBORAL 154,EL CARMEN DE VIBORAL,ANTIOQUIA,5.993224040454207,-75.25163905913571,500,06:00,19:00,3,mensual,4193215.9754001764
C00155,Cliente SAN ANDRÉS DE CUERQUÍA 155,SAN ANDRÉS DE CUERQUÍA,ANTIOQUIA,6.93563084702039,-75.68154243624686,200,07:00,20:00,2,mensual,4365625.462338898
C00156,Cliente CARAMANTA 156,CARAMANTA,ANTIOQUIA,5.56830796602259,-75.64566616530105,200,06:00,18:00,3,diario,2803099.588446797
C00157,Cliente PEÑOL 157,PEÑOL,ANTIOQUIA,6.232695077350433,-75.24325362513133,1000,07:00,19:00,3,semanal,1336027.726267591
C00158,Cliente SALGAR 158,SALGAR,ANTIOQUIA,5.983249510819993,-75.99623456127627,200,07:00,19:00,3,mensual,1742267.221891496
C00159,Cliente ITUANGO 159,ITUANGO,ANTIOQUIA,7.328729610936953,-75.66827481663798,500,09:00,20:00,3,mensual,873569.0553147481
C00160,Cliente ANZÁ 160,ANZÁ,ANTIOQUIA,6.276240637058751,-75.91408245159295,50,07:00,18:00,1,mensual,4951234.445115703
C00161,Cliente CAÑASGORDAS 161,CAÑASGORDAS,ANTIOQUIA,6.8127883552804125,-76.02099337426392,500,06:00,20:00,1,diario,1651870.584790229
C00162,Cliente PUEBLORRICO 162,PUEBLORRICO,ANTIOQUIA,5.822453285734284,-75.87066632001248,100,07:00,18:00,3,mensual,555858.417483909
C00163,Cliente CONCEPCIÓN 163,CONCEPCIÓN,ANTIOQUIA,6.377187150848475,-75.20482217936801,200,09:00,20:00,1,semanal,3289830.5106916195
C00164,Cliente CALDAS 164,CALDAS,ANTIOQUIA,6.069169013901291,-75.60789727386239,500,06:00,17:00,3,mensual,4824376.337737532
C00165,Cliente JAMUNDÍ 165,JAMUNDÍ,VALLE DEL CAUCA,3.204860997093947,-76.60824507408161,50,07:00,20:00,3,mensual,1041777.7605661276
C00166,Cliente CÁCERES 166,CÁCERES,ANTIOQUIA,7.67375206660809,-75.22118742854626,500,09:00,19:00,3,diario,4349684.681380274
C00167,Cliente GRANADA 167,GRANADA,ANTIOQUIA,6.1095270425264445,-75.12948871461579,100,09:00,19:00,3,diario,211004.588481697
C00168,Cliente ITUANGO 168,ITUANGO,ANTIOQUIA,7.3602501685445505,-75.69100441501293,50,07:00,18:00,3,semanal,1275322.780236707
C00169,Cliente ANGOSTURA 169,ANGOSTURA,ANTIOQUIA,6.849519753068014,-75.35865221813035,1000,06:00,18:00,3,semanal,2303339.737954916
C00170,Cliente MUTATÁ 170,MUTATÁ,ANTIOQUIA,7.328141791865432,-76.45584743494562,100,07:00,19:00,3,semanal,3490160.3363263854
C00171,Cliente EL CARMEN DE VIBORAL 171,EL CARMEN DE VIBORAL,ANTIOQUIA,5.996184786521549,-75.24722335388061,200,07:00,19:00,2,semanal,4933979.836672375
C00172,Cliente TRUJILLO 172,TRUJILLO,VALLE DEL CAUCA,4.214002821477621,-76.34363273473794,500,09:00,17:00,3,diario,1665983.47580776
C00173,Cliente ABEJORRAL 173,ABEJORRAL,ANTIOQUIA,5.805097842239058,-75.42317219056721,50,06:00,20:00,2,semanal,4888458.612258189
