id_cliente,BODEGA_MEDELLIN,BODEGA_CALI,C00001,C00002,C00003,C00004,C00005,C00006,C00007,C00008,C00009,C00010,C00011,C00012,C00013,C00014,C00015,C00016,C00017,C00018,C00019,C00020,C00021,C00022,C00023,C00024,C00025,C00026,C00027,C00028,C00029,C00030,C00031,C00032,C00033,C00034,C00035,C00036,C00037,C00038,C00039,C00040,C00041,C00042,C00043,C00044,C00045,C00046,C00047,C00048,C00049,C00050
C00011,34.6,767.5,87.2,179.7,122.8,191.9,521.6,441.4,81.4,603.5,110.6,322.4,0.0,133.6,702.1,113.0,568.1,169.6,414.8,167.5,518.7,207.3,442.8,63.8,126.0,114.0,450.3,414.6,531.0,77.7,139.9,570.6,543.6,212.8,191.6,567.2,148.0,770.9,245.8,191.7,319.2,83.3,138.0,29.7,416.2,407.0,149.7,781.5,59.4,101.9,466.7,30.0
C00012,159.5,843.3,49.9,260.4,255.3,191.9,582.7,525.3,111.4,643.4,93.2,441.8,133.6,0.0,773.2,82.7,649.7,160.6,495.0,269.2,578.9,109.8,526.5,109.7,201.6,87.4,530.2,493.7,616.8,173.1,114.8,643.5,605.4,307.1,125.1,649.6,247.8,841.3,280.1,324.5,253.7,208.0,4.5,163.1,496.9,487.3,233.5,843.2,111.0,38.3,554.3,119.5
C00013,669.0,75.1,758.4,523.7,634.2,591.3,194.2,264.7,666.9,1230.6,680.1,791.9,702.1,773.2,0.0,806.4,144.2,871.7,288.0,537.1,1117.4,729.8,263.3,675.6,803.3,808.9,253.0,287.8,186.6,625.8,839.1,131.5,171.9,490.7,882.9,147.0,784.8,68.8,926.6,662.5,1015.8,630.2,775.5,691.2,286.8,295.7,808.8,97.7,676.6,738.5,246.6,732.0
C00014,147.3,873.7,54.8,283.1,228.9,250.5,621.1,549.2,144.2,562.0,146.2,377.1,113.0,82.7,806.4,0.0,675.7,81.8,521.3,278.1,496.3,192.2,550.6,132.3,126.9,4.7,556.9,520.7,639.7,182.3,36.9,675.2,643.6,321.9,78.9,675.0,178.5,875.2,197.7,282.2,209.6,196.2,85.5,136.2,522.8,513.4,158.9,882.3,130.7,89.1,575.8,85.0
C00015,534.3,200.7,630.2,393.1,493.2,477.5,119.7,126.7,540.4,1086.4,557.5,648.2,568.1,649.7,144.2,675.7,0.0,737.2,155.0,401.2,973.1,618.9,125.3,547.4,664.0,677.9,119.5,156.1,42.4,493.6,707.0,48.9,109.6,355.3,753.5,4.5,643.2,210.3,786.2,518.6,885.3,493.0,652.5,555.0,153.2,162.8,668.1,238.9,547.9,613.5,103.9,598.1
C00016,203.0,936.9,136.0,348.9,263.1,330.7,690.3,610.5,220.8,483.1,227.0,353.2,169.6,160.6,871.7,81.8,737.2,0.0,584.3,336.1,423.7,270.0,611.9,206.7,107.4,77.3,619.8,584.2,699.5,246.5,46.0,740.2,712.5,381.9,72.6,736.2,161.3,940.5,123.5,295.1,158.8,245.9,162.5,182.9,585.7,576.5,131.9,950.8,204.3,170.9,635.2,139.8
C00017,381.4,352.7,475.3,238.4,348.8,327.1,129.0,33.0,385.5,955.3,403.1,532.8,414.8,495.0,288.0,521.3,155.0,584.3,0.0,249.2,846.4,468.6,33.8,392.4,515.8,523.5,35.6,4.8,122.7,339.5,553.0,156.9,146.1,202.8,598.8,154.6,499.7,356.7,639.6,386.8,730.9,342.2,497.8,403.3,2.7,7.8,522.5,372.4,393.0,458.6,65.6,444.8
C00018,133.3,601.1,238.3,46.4,115.1,172.3,363.0,274.6,159.4,726.5,188.9,350.3,167.5,269.2,537.1,278.1,401.2,336.1,249.2,0.0,626.2,284.4,276.0,159.6,268.4,279.7,284.4,249.4,363.6,97.7,307.2,405.9,384.2,46.5,356.8,400.1,259.2,605.9,393.1,184.9,486.5,93.5,272.9,154.2,250.4,241.4,278.3,619.6,158.6,230.9,299.3,197.5
C00019,534.5,1166.0,541.5,663.2,511.3,710.5,973.4,860.5,598.2,121.7,620.0,331.3,518.7,578.9,1117.4,496.3,973.1,423.7,846.4,626.2,0.0,688.1,862.0,580.5,394.5,491.5,876.5,848.5,930.8,582.3,466.8,995.3,992.1,667.2,487.2,970.4,375.8,1182.1,300.3,459.7,458.1,544.0,581.7,506.6,846.5,839.8,369.0,1210.8,576.4,577.8,872.6,501.7
C00020,219.2,802.8,148.8,258.0,312.9,141.6,535.8,501.0,140.8,753.1,104.7,529.5,207.3,109.8,729.8,192.2,618.9,270.0,468.6,284.4,688.1,0.0,502.0,152.7,304.2,196.9,502.0,466.3,591.0,206.7,224.4,604.7,558.3,309.7,225.8,619.5,344.7,796.2,389.8,392.7,341.9,257.1,107.6,234.8,470.9,461.4,335.2,790.7,156.7,114.5,532.5,206.7
C00021,409.0,325.2,505.6,268.4,371.0,360.5,124.2,1.5,416.5,972.5,435.0,543.8,442.8,526.5,263.3,550.6,125.3,611.9,33.8,276.0,862.0,502.0,0.0,422.8,540.3,552.7,18.4,37.0,90.3,368.4,581.7,134.4,137.1,230.1,628.5,124.5,521.7,331.5,663.3,403.4,760.1,368.2,529.4,430.0,31.3,40.7,545.6,351.3,423.2,489.8,32.0,472.8
C00022,66.8,743.8,82.9,154.5,160.7,131.3,489.1,421.5,17.7,662.3,49.5,381.9,63.8,109.7,675.6,132.3,547.4,206.7,392.4,159.6,580.5,152.7,422.8,0.0,186.3,135.4,428.0,391.5,512.7,63.8,167.4,544.7,511.6,198.7,207.3,546.9,211.8,744.2,300.2,240.0,340.4,106.4,113.5,86.1,394.1,384.6,212.1,750.3,4.5,71.4,449.4,79.6
C00023,148.2,864.7,155.8,293.2,173.3,317.1,631.2,538.8,203.8,477.4,226.1,253.0,126.0,201.6,803.3,126.9,664.0,107.4,515.8,268.4,394.5,304.2,540.3,186.3,0.0,123.1,550.4,516.4,624.4,197.7,117.9,672.7,652.6,314.7,171.6,662.5,55.2,871.8,125.0,190.4,262.0,175.1,205.4,120.8,516.8,508.2,32.1,887.6,182.3,190.0,560.4,107.1
C00024,148.4,876.1,58.9,285.4,228.6,254.5,623.9,551.4,147.6,557.3,150.3,373.8,114.0,87.4,808.9,4.7,677.9,77.3,523.5,279.7,491.5,196.9,552.7,135.4,123.1,0.0,559.1,523.0,641.8,184.3,32.9,677.7,646.4,323.8,77.6,677.2,175.2,877.7,193.0,280.7,207.4,197.0,90.2,136.5,525.1,515.7,155.1,885.1,133.6,93.6,577.8,85.5
C00025,416.9,317.2,510.9,274.0,382.4,360.4,106.2,19.5,420.9,986.4,438.1,559.7,450.3,530.2,253.0,556.9,119.5,619.8,35.6,284.4,876.5,502.0,18.4,428.0,550.4,559.1,0.0,36.6,89.1,375.1,588.6,122.5,119.8,238.1,634.4,119.3,533.2,321.6,673.9,417.3,766.5,377.3,533.0,438.6,34.1,43.5,556.5,338.9,428.6,494.0,42.0,480.3
C00026,381.3,353.1,474.4,237.7,350.0,324.7,126.2,36.3,384.4,957.1,401.6,535.5,414.6,493.7,287.8,520.7,156.1,584.2,4.8,249.4,848.5,466.3,37.0,391.5,516.4,523.0,36.6,0.0,124.7,339.0,552.5,156.6,143.7,202.9,598.1,155.9,500.7,356.6,640.3,388.8,730.3,342.6,496.4,403.4,7.4,8.7,523.3,371.5,392.1,457.4,69.0,444.6
C00027,496.9,240.9,595.4,358.2,452.8,449.4,126.5,91.5,506.6,1044.2,525.2,605.8,531.0,616.8,186.6,639.7,42.4,699.5,122.7,363.6,930.8,591.0,90.3,512.7,624.4,641.8,89.1,124.7,0.0,457.5,670.3,78.4,123.8,318.2,717.9,39.7,602.5,252.2,746.0,476.7,849.1,454.5,619.7,516.9,120.5,130.2,627.7,281.3,513.1,580.0,64.3,561.0
C00028,49.5,692.1,140.7,102.4,111.3,138.5,444.0,367.0,68.3,672.8,103.0,350.0,77.7,173.1,625.8,182.3,493.6,246.5,339.5,97.7,582.3,206.7,368.4,63.8,197.7,184.3,375.1,339.0,457.5,0.0,213.5,494.4,466.2,139.9,260.6,492.9,206.5,694.7,320.9,195.1,391.7,54.2,177.0,77.2,341.0,331.6,216.3,704.3,62.1,135.0,393.5,106.9
C00029,174.4,905.7,91.7,315.4,247.4,287.4,655.1,580.3,180.1,528.7,183.1,370.8,139.9,114.8,839.1,36.9,707.0,46.0,553.0,307.2,466.8,224.4,581.7,167.4,117.9,32.9,588.6,552.5,670.3,213.5,0.0,707.7,677.5,352.1,57.8,706.1,172.7,907.9,166.7,291.7,179.3,221.2,116.9,158.9,554.4,545.1,148.1,916.1,165.4,125.6,606.1,110.2
C00030,537.6,199.8,627.5,392.3,504.8,464.6,80.6,135.9,536.3,1106.6,550.5,674.2,570.6,643.5,131.5,675.2,48.9,740.2,156.9,405.9,995.3,604.7,134.4,544.7,672.7,677.7,122.5,156.6,78.4,494.4,707.7,0.0,65.3,359.4,751.9,53.3,655.6,200.3,796.4,537.4,884.7,499.1,646.0,559.9,155.9,164.6,679.0,216.9,545.6,608.3,123.6,600.5
C00031,511.9,246.1,593.7,363.9,490.4,420.7,22.8,138.5,501.6,1100.1,512.3,678.5,543.6,605.4,171.9,643.6,109.6,712.5,146.1,384.2,992.1,558.3,137.1,511.6,652.6,646.4,119.8,143.7,123.8,466.2,677.5,65.3,0.0,338.1,718.5,113.5,640.6,237.8,777.3,532.5,851.8,477.5,607.6,536.0,146.2,152.4,661.8,238.8,513.0,571.7,141.6,573.0
C00032,179.0,555.0,279.8,51.7,156.3,183.5,317.0,228.7,195.8,769.4,221.5,380.8,212.8,307.1,490.7,321.9,355.3,381.9,202.8,46.5,667.2,309.7,230.1,198.7,314.7,323.8,238.1,202.9,318.2,139.9,352.1,359.4,338.1,0.0,400.4,354.4,303.9,559.5,439.3,217.2,531.0,139.9,310.5,200.5,204.0,195.0,323.9,573.1,198.3,269.1,254.1,242.8
C00033,226.1,950.8,124.8,360.4,304.0,314.5,695.9,627.2,217.0,537.1,211.3,422.8,191.6,125.1,882.9,78.9,753.5,72.6,598.8,356.8,487.2,225.8,628.5,207.3,171.6,77.6,634.4,598.1,717.9,260.6,57.8,751.9,718.5,400.4,0.0,752.9,226.7,951.5,190.1,349.5,133.3,274.5,125.2,213.5,600.4,591.0,199.8,957.2,206.3,150.3,654.1,163.0
C00034,533.3,202.2,629.7,392.6,491.4,478.1,123.2,125.8,540.1,1083.8,557.5,645.2,567.2,649.6,147.0,675.0,4.5,736.2,154.6,400.1,970.4,619.5,124.5,546.9,662.5,677.2,119.3,155.9,39.7,492.9,706.1,53.3,113.5,354.4,752.9,0.0,641.4,212.6,784.6,516.2,884.6,491.7,652.3,553.9,152.8,162.4,666.4,242.1,547.4,613.2,102.2,597.2
C00035,159.2,843.4,199.4,291.3,150.9,337.8,620.0,520.2,229.4,469.2,257.0,198.8,148.0,247.8,784.8,178.5,643.2,161.3,499.7,259.2,375.8,344.7,521.7,211.8,55.2,175.2,533.2,500.7,602.5,206.5,172.7,655.6,640.6,303.9,226.7,641.4,0.0,852.7,146.0,145.9,312.0,170.6,251.9,131.7,500.4,492.3,31.8,872.0,207.4,230.6,539.3,139.0
C00036,737.8,38.6,827.0,592.5,702.3,658.3,260.5,333.0,735.4,1296.1,748.2,855.1,770.9,841.3,68.8,875.2,210.3,940.5,356.7,605.9,1182.1,796.2,331.5,744.2,871.8,877.7,321.6,356.6,252.2,694.7,907.9,200.3,237.8,559.5,951.5,212.6,852.7,0.0,994.8,728.9,1084.5,698.9,843.6,760.0,355.5,364.4,877.0,60.9,745.3,806.8,313.8,800.8
C00037,271.6,986.8,246.6,418.0,293.2,431.0,756.1,661.8,316.9,365.6,332.1,284.7,245.8,280.1,926.6,197.7,786.2,123.5,639.6,393.1,300.3,389.8,663.3,300.2,125.0,193.0,673.9,640.3,746.0,320.9,166.7,796.4,777.3,439.3,190.1,784.6,146.0,994.8,0.0,289.5,208.2,300.0,282.6,244.9,640.5,632.1,118.4,1011.7,296.7,283.2,682.4,221.5
C00038,173.6,716.1,276.1,229.8,84.2,329.3,513.8,401.8,253.2,569.2,288.9,165.4,191.7,324.5,662.5,282.2,518.6,295.1,386.8,184.9,459.7,392.7,403.4,240.0,190.4,280.7,417.3,388.8,476.7,195.1,291.7,537.4,532.5,217.2,349.5,516.2,145.9,728.9,289.5,0.0,452.2,140.9,328.9,162.1,386.9,380.1,177.1,753.9,236.1,293.5,416.0,206.5
C00039,353.7,1083.3,258.1,492.7,421.4,445.3,829.2,758.8,350.2,478.2,343.4,487.9,319.2,253.7,1015.8,209.6,885.3,158.8,730.9,486.5,458.1,341.9,760.1,340.4,262.0,207.4,766.5,730.3,849.1,391.7,179.3,884.7,851.8,531.0,133.3,884.6,312.0,1084.5,208.2,452.2,0.0,400.0,252.8,337.3,732.5,723.1,280.5,1090.5,339.3,282.6,785.1,289.4
C00040,50.1,693.4,166.9,120.8,57.2,190.6,456.1,366.7,116.4,639.8,152.3,297.3,83.3,208.0,630.2,196.2,493.0,245.9,342.2,93.5,544.0,257.1,368.2,106.4,175.1,197.0,377.3,342.6,454.5,54.2,221.2,499.1,477.5,139.9,274.5,491.7,170.6,698.9,300.0,140.9,400.0,0.0,212.3,63.0,343.4,334.5,186.7,713.1,103.1,171.7,390.2,111.6
C00041,163.9,845.7,54.2,263.6,259.8,193.1,584.8,528.2,114.7,645.6,95.5,446.0,138.0,4.5,775.5,85.5,652.5,162.5,497.8,272.9,581.7,107.6,529.4,113.5,205.4,90.2,533.0,496.4,619.7,177.0,116.9,646.0,607.6,310.5,125.2,652.3,251.9,843.6,282.6,328.9,252.8,212.3,0.0,167.6,499.7,490.1,237.3,845.3,114.9,42.1,557.3,124.0
C00042,28.0,755.2,116.2,173.6,94.5,206.3,514.3,428.6,102.6,595.7,135.1,296.1,29.7,163.1,691.2,136.2,555.0,182.9,403.3,154.2,506.6,234.8,430.0,86.1,120.8,136.5,438.6,403.4,516.9,77.2,158.9,559.9,536.0,200.5,213.5,553.9,131.7,760.0,244.9,162.1,337.3,63.0,167.6,0.0,404.5,395.5,139.2,772.8,81.7,131.5,452.6,51.3
C00043,382.8,351.3,477.0,240.0,349.6,329.4,129.4,30.5,387.3,955.5,405.0,532.5,416.2,496.9,286.8,522.8,153.2,585.7,2.7,250.4,846.5,470.9,31.3,394.1,516.8,525.1,34.1,7.4,120.5,341.0,554.4,155.9,146.2,204.0,600.4,152.8,500.4,355.5,640.5,386.9,732.5,343.4,499.7,404.5,0.0,9.6,523.3,371.7,394.7,460.4,63.0,446.2
C00044,373.6,360.6,467.5,230.5,341.5,319.9,134.8,39.8,377.7,948.4,395.4,526.9,407.0,487.3,295.7,513.4,162.8,576.5,7.8,241.4,839.8,461.4,40.7,384.6,508.2,515.7,43.5,8.7,130.2,331.6,545.1,164.6,152.4,195.0,591.0,162.4,492.3,364.4,632.1,380.1,723.1,334.5,490.1,395.5,9.6,0.0,515.0,379.9,385.2,450.8,72.0,437.0
C00045,167.2,868.6,187.2,307.1,174.9,341.5,640.9,544.1,229.7,456.5,254.1,223.1,149.7,233.5,808.8,158.9,668.1,131.9,522.5,278.3,369.0,335.2,545.6,212.1,32.1,155.1,556.5,523.3,627.7,216.3,148.1,679.0,661.8,323.9,199.8,666.4,31.8,877.0,118.4,177.1,280.5,186.7,237.3,139.2,523.3,515.0,0.0,894.9,207.9,220.8,564.2,134.5
C00046,749.3,99.4,832.4,601.9,721.2,656.2,261.3,352.8,740.3,1322.9,750.3,887.0,781.5,843.2,97.7,882.3,238.9,950.8,372.4,619.6,1210.8,790.7,351.3,750.3,887.6,885.1,338.9,371.5,281.3,704.3,916.1,216.9,238.8,573.1,957.2,242.1,872.0,60.9,1011.7,753.9,1090.5,713.1,845.3,772.8,371.7,379.9,894.9,0.0,751.7,810.0,338.3,811.1
C00047,62.7,744.6,82.3,154.9,157.1,135.1,490.5,421.9,22.0,658.5,53.8,377.5,59.4,111.0,676.6,130.7,547.9,204.3,393.0,158.6,576.4,156.7,423.2,4.5,182.3,133.6,428.6,392.1,513.1,62.1,165.4,545.6,513.0,198.3,206.3,547.4,207.4,745.3,296.7,236.1,339.3,103.1,114.9,81.7,394.7,385.2,207.9,751.7,0.0,72.8,449.6,75.8
C00048,124.4,808.0,36.6,222.9,221.1,164.5,549.0,488.6,73.7,648.7,61.0,419.2,101.9,38.3,738.5,89.1,613.5,170.9,458.6,230.9,577.8,114.5,489.8,71.4,190.0,93.6,494.0,457.4,580.0,135.0,125.6,608.3,571.7,269.1,150.3,613.2,230.6,806.8,283.2,293.5,282.6,171.7,42.1,131.5,460.4,450.8,220.8,810.0,72.8,0.0,517.3,94.3
C00049,432.6,304.4,531.9,294.9,389.3,391.1,133.4,32.7,443.7,984.7,463.3,550.5,466.7,554.3,246.6,575.8,103.9,635.2,65.6,299.3,872.6,532.5,32.0,449.4,560.4,577.8,42.0,69.0,64.3,393.5,606.1,123.6,141.6,254.1,654.1,102.2,539.3,313.8,682.4,416.0,785.1,390.2,557.3,452.6,63.0,72.0,564.2,338.3,449.6,517.3,0.0,496.7
C00050,64.3,797.5,70.1,209.2,145.2,210.9,550.9,471.5,97.0,582.7,119.6,324.9,30.0,119.5,732.0,85.0,598.1,139.8,444.8,197.5,501.7,206.7,472.8,79.6,107.1,85.5,480.3,444.6,561.0,106.9,110.2,600.5,573.0,242.8,163.0,597.2,139.0,800.8,221.5,206.5,289.4,111.6,124.0,51.3,446.2,437.0,134.5,811.1,75.8,94.3,496.7,0.0
