zona,dia_semana,hora,velocidad_promedio,flujo_vehicular,nivel_congestion,factor_congestion,velocidad_ajustada,categoria_hora,es_fin_semana
Norte,0,0,47.5,451,23.2,0.23199999999999998,44.194,Bajo,0
Norte,0,1,49.0,368,54.4,0.544,41.0032,Bajo,0
Norte,0,2,49.1,536,11.7,0.11699999999999999,47.37659,Bajo,0
Norte,0,3,49.4,539,33.5,0.335,44.4353,Bajo,0
Norte,0,4,41.4,655,62.0,0.62,33.699600000000004,Bajo,0
Norte,0,5,45.3,725,78.9,0.789,34.57749,Bajo,0
Norte,0,6,41.5,318,24.8,0.248,38.4124,Bajo,0
Norte,0,7,26.2,123,57.0,0.57,21.7198,Pico,0
Norte,0,8,26.4,713,34.2,0.342,23.69136,Pico,0
Norte,0,9,27.3,177,84.6,0.846,20.37126,Pico,0
Norte,0,10,31.3,378,79.7,0.797,23.81617,Normal,0
Norte,0,11,31.5,260,72.2,0.722,24.6771,Normal,0
Norte,0,12,37.2,548,69.4,0.6940000000000001,29.45496,Normal,0
Norte,0,13,35.4,276,34.6,0.34600000000000003,31.725479999999997,Normal,0
Norte,0,14,31.8,735,58.3,0.583,26.238180000000003,Normal,0
Norte,0,15,34.0,423,94.7,0.9470000000000001,24.3406,Normal,0
Norte,0,16,31.5,510,50.6,0.506,26.718300000000003,Normal,0
Norte,0,17,24.2,112,87.2,0.872,17.86928,Pico,0
Norte,0,18,29.0,495,69.7,0.6970000000000001,22.9361,Pico,0
Norte,0,19,28.8,595,15.3,0.153,27.47808,Pico,0
Norte,0,20,45.8,524,42.4,0.424,39.97424,Bajo,0
Norte,0,21,47.4,754,92.6,0.9259999999999999,34.232279999999996,Bajo,0
Norte,0,22,44.5,179,98.5,0.985,31.35025,Bajo,0
Norte,0,23,48.4,187,92.1,0.9209999999999999,35.02708,Bajo,0
Norte,1,0,48.7,463,59.1,0.591,40.065490000000004,Bajo,0
Norte,1,1,44.0,138,33.5,0.335,39.577999999999996,Bajo,0
Norte,1,2,48.0,103,33.3,0.33299999999999996,43.2048,Bajo,0
Norte,1,3,44.0,476,92.0,0.92,31.855999999999998,Bajo,0
Norte,1,4,43.5,342,73.8,0.738,33.869099999999996,Bajo,0
Norte,1,5,44.5,257,45.2,0.452,38.4658,Bajo,0
Norte,1,6,41.4,223,49.8,0.498,35.21484,Bajo,0
Norte,1,7,21.3,740,36.2,0.36200000000000004,18.98682,Pico,0
Norte,1,8,23.7,542,1.3,0.013000000000000001,23.60757,Pico,0
Norte,1,9,25.0,224,96.1,0.961,17.7925,Pico,0
Norte,1,10,31.5,390,8.5,0.085,30.69675,Normal,0
Norte,1,11,40.0,451,59.5,0.595,32.86,Normal,0
Norte,1,12,30.7,624,21.0,0.21,28.765900000000002,Normal,0
Norte,1,13,39.0,243,19.1,0.191,36.765299999999996,Normal,0
Norte,1,14,30.4,430,56.5,0.565,25.2472,Normal,0
Norte,1,15,30.7,642,45.3,0.45299999999999996,26.52787,Normal,0
Norte,1,16,35.2,408,40.1,0.401,30.965440000000005,Normal,0
Norte,1,17,23.4,208,18.2,0.182,22.12236,Pico,0
Norte,1,18,27.9,762,37.3,0.373,24.77799,Pico,0
Norte,1,19,19.1,550,40.9,0.409,16.75643,Pico,0
Norte,1,20,40.3,209,71.6,0.716,31.643559999999997,Bajo,0
Norte,1,21,46.6,118,22.2,0.222,43.49644,Bajo,0
Norte,1,22,42.3,570,2.0,0.02,42.0462,Bajo,0
Norte,1,23,41.0,659,17.9,0.179,38.798300000000005,Bajo,0
Norte,2,0,46.5,266,9.9,0.099,45.118950000000005,Bajo,0
Norte,2,1,42.4,605,85.6,0.856,31.511680000000002,Bajo,0
Norte,2,2,48.3,378,66.8,0.6679999999999999,38.62068,Bajo,0
Norte,2,3,42.0,305,89.6,0.8959999999999999,30.710400000000003,Bajo,0
Norte,2,4,40.1,159,20.8,0.20800000000000002,37.59776,Bajo,0
Norte,2,5,40.3,227,58.3,0.583,33.25153,Bajo,0
Norte,2,6,44.2,724,81.7,0.8170000000000001,33.366580000000006,Bajo,0
Norte,2,7,20.1,281,38.0,0.38,17.808600000000002,Pico,0
Norte,2,8,23.9,287,62.4,0.624,19.425919999999998,Pico,0
Norte,2,9,21.1,486,43.6,0.436,18.340120000000002,Pico,0
Norte,2,10,32.9,763,76.4,0.764,25.35932,Normal,0
Norte,2,11,31.4,707,48.7,0.48700000000000004,26.812459999999998,Normal,0
Norte,2,12,38.9,659,42.5,0.425,33.94025,Normal,0
Norte,2,13,30.2,288,54.2,0.542,25.28948,Normal,0
Norte,2,14,36.3,280,13.9,0.139,34.78629,Normal,0
Norte,2,15,38.3,789,52.6,0.526,32.25626,Normal,0
Norte,2,16,31.7,290,1.8,0.018000000000000002,31.52882,Normal,0
Norte,2,17,28.7,182,57.7,0.5770000000000001,23.732029999999998,Pico,0
Norte,2,18,19.1,487,65.1,0.6509999999999999,15.36977,Pico,0
Norte,2,19,27.4,244,1.1,0.011000000000000001,27.30958,Pico,0
Norte,2,20,41.4,730,87.4,0.8740000000000001,30.54492,Bajo,0
Norte,2,21,46.0,520,66.5,0.665,36.823,Bajo,0
Norte,2,22,41.8,740,41.9,0.419,36.54574,Bajo,0
Norte,2,23,43.8,463,4.7,0.047,43.18242,Bajo,0
Norte,3,0,41.7,616,8.3,0.083,40.66167,Bajo,0
Norte,3,1,46.0,271,38.9,0.389,40.6318,Bajo,0
Norte,3,2,42.9,348,71.9,0.7190000000000001,33.64647,Bajo,0
Norte,3,3,43.0,496,47.6,0.47600000000000003,36.8596,Bajo,0
Norte,3,4,46.6,755,73.3,0.733,36.35266,Bajo,0
Norte,3,5,42.1,121,26.2,0.262,38.79094,Bajo,0
Norte,3,6,46.0,135,49.6,0.496,39.1552,Bajo,0
Norte,3,7,24.0,333,77.1,0.7709999999999999,18.448800000000002,Pico,0
Norte,3,8,16.6,152,72.8,0.728,12.974560000000002,Pico,0
Norte,3,9,22.4,581,43.5,0.435,19.476799999999997,Pico,0
Norte,3,10,32.5,673,79.9,0.799,24.70975,Normal,0
Norte,3,11,36.9,290,59.0,0.59,30.368699999999997,Normal,0
Norte,3,12,33.6,164,91.7,0.917,24.356640000000002,Normal,0
Norte,3,13,31.4,765,44.6,0.446,27.19868,Normal,0
Norte,3,14,31.9,479,87.3,0.873,23.545389999999998,Normal,0
Norte,3,15,37.3,664,65.9,0.659,29.92579,Normal,0
Norte,3,16,36.9,694,25.0,0.25,34.1325,Normal,0
Norte,3,17,22.3,254,98.8,0.988,15.690280000000001,Pico,0
Norte,3,18,29.2,127,70.6,0.706,23.015439999999998,Pico,0
Norte,3,19,28.9,226,56.8,0.568,23.97544,Pico,0
Norte,3,20,49.2,123,69.7,0.6970000000000001,38.91228,Bajo,0
Norte,3,21,43.0,747,97.1,0.971,30.4741,Bajo,0
Norte,3,22,49.4,431,86.2,0.862,36.62516,Bajo,0
Norte,3,23,48.4,323,82.9,0.8290000000000001,36.362919999999995,Bajo,0
Norte,4,0,40.4,517,23.0,0.23,37.6124,Bajo,0
Norte,4,1,41.2,153,69.6,0.696,32.597440000000006,Bajo,0
Norte,4,2,43.4,607,6.5,0.065,42.5537,Bajo,0
Norte,4,3,43.2,477,79.1,0.7909999999999999,32.948640000000005,Bajo,0
Norte,4,4,43.2,538,88.6,0.8859999999999999,31.71744,Bajo,0
Norte,4,5,46.2,263,2.4,0.024,45.867360000000005,Bajo,0
Norte,4,6,48.7,114,87.5,0.875,35.916250000000005,Bajo,0
Norte,4,7,22.9,757,79.9,0.799,17.41087,Pico,0
Norte,4,8,30.0,345,76.7,0.767,23.097,Pico,0
Norte,4,9,21.0,435,62.8,0.628,17.0436,Pico,0
Norte,4,10,38.7,788,76.8,0.768,29.783520000000003,Normal,0
Norte,4,11,34.2,394,73.8,0.738,26.62812,Normal,0
Norte,4,12,32.4,177,35.5,0.355,28.949399999999997,Normal,0
Norte,4,13,32.9,307,23.4,0.23399999999999999,30.590419999999998,Normal,0
Norte,4,14,30.4,112,98.8,0.988,21.38944,Normal,0
Norte,4,15,34.3,369,68.0,0.68,27.302799999999998,Normal,0
Norte,4,16,32.2,764,78.6,0.7859999999999999,24.60724,Normal,0
Norte,4,17,16.3,392,87.9,0.879,12.00169,Pico,0
Norte,4,18,29.2,427,61.3,0.613,23.83012,Pico,0
Norte,4,19,17.5,793,23.2,0.23199999999999998,16.282,Pico,0
Norte,4,20,49.4,554,60.8,0.608,40.38944,Bajo,0
Norte,4,21,45.1,261,17.7,0.177,42.70519,Bajo,0
Norte,4,22,42.2,230,78.0,0.78,32.3252,Bajo,0
Norte,4,23,43.5,140,96.9,0.9690000000000001,30.854550000000003,Bajo,0
Norte,5,0,58.8,749,99.5,0.995,41.2482,Bajo,1
Norte,5,1,51.7,377,75.8,0.758,39.94342,Bajo,1
Norte,5,2,57.0,207,81.6,0.816,43.046400000000006,Bajo,1
Norte,5,3,52.2,256,53.7,0.537,43.79058,Bajo,1
Norte,5,4,55.9,506,9.1,0.091,54.37393,Bajo,1
Norte,5,5,58.8,285,13.0,0.13,56.5068,Bajo,1
Norte,5,6,58.9,768,86.2,0.862,43.66846,Bajo,1
Norte,5,7,37.1,558,55.1,0.551,30.967370000000003,Pico,1
Norte,5,8,26.3,385,37.3,0.373,23.35703,Pico,1
Norte,5,9,28.9,606,49.6,0.496,24.599679999999996,Pico,1
Norte,5,10,40.8,254,68.3,0.6829999999999999,32.44008,Normal,1
Norte,5,11,40.8,695,49.5,0.495,34.7412,Normal,1
Norte,5,12,44.8,514,82.5,0.825,33.712,Normal,1
Norte,5,13,43.5,574,56.6,0.5660000000000001,36.1137,Normal,1
Norte,5,14,42.7,715,79.7,0.797,32.49043,Normal,1
Norte,5,15,46.6,695,86.7,0.867,34.47934,Normal,1
Norte,5,16,47.1,685,69.7,0.6970000000000001,37.25139,Normal,1
Norte,5,17,35.2,533,75.3,0.753,27.248320000000003,Pico,1
Norte,5,18,27.4,716,87.2,0.872,20.232159999999997,Pico,1
Norte,5,19,25.4,678,12.9,0.129,24.41702,Pico,1
Norte,5,20,53.4,620,16.1,0.161,50.82078,Bajo,1
Norte,5,21,58.2,682,50.7,0.507,49.34778,Bajo,1
Norte,5,22,50.1,300,61.7,0.617,40.82649,Bajo,1
Norte,5,23,59.8,542,26.0,0.26,55.1356,Bajo,1
Norte,6,0,56.3,477,78.0,0.78,43.1258,Bajo,1
Norte,6,1,51.1,632,54.1,0.541,42.806470000000004,Bajo,1
Norte,6,2,59.6,339,63.3,0.633,48.281960000000005,Bajo,1
Norte,6,3,59.3,171,93.7,0.937,42.63077,Bajo,1
Norte,6,4,56.9,147,30.1,0.301,51.76193,Bajo,1
Norte,6,5,57.1,147,58.2,0.5820000000000001,47.130340000000004,Bajo,1
Norte,6,6,53.5,534,4.6,0.046,52.7617,Bajo,1
Norte,6,7,38.1,781,96.9,0.9690000000000001,27.024330000000003,Pico,1
Norte,6,8,36.2,191,75.8,0.758,27.96812,Pico,1
Norte,6,9,25.4,115,32.4,0.324,22.93112,Pico,1
Norte,6,10,44.9,639,68.3,0.6829999999999999,35.69999,Normal,1
Norte,6,11,44.5,291,99.7,0.997,31.190050000000003,Normal,1
Norte,6,12,44.3,415,16.4,0.16399999999999998,42.120439999999995,Normal,1
Norte,6,13,47.9,585,22.1,0.221,44.72423,Normal,1
Norte,6,14,40.8,576,65.5,0.655,32.782799999999995,Normal,1
Norte,6,15,42.7,765,15.1,0.151,40.76569,Normal,1
Norte,6,16,44.3,760,42.0,0.42,38.718199999999996,Normal,1
Norte,6,17,34.6,378,27.4,0.27399999999999997,31.755880000000005,Pico,1
Norte,6,18,39.8,386,89.4,0.894,29.125639999999997,Pico,1
Norte,6,19,28.4,249,3.1,0.031,28.13588,Pico,1
Norte,6,20,56.5,357,86.4,0.8640000000000001,41.855199999999996,Bajo,1
Norte,6,21,54.7,777,18.6,0.18600000000000003,51.647740000000006,Bajo,1
Norte,6,22,58.7,643,77.1,0.7709999999999999,45.122690000000006,Bajo,1
Norte,6,23,58.4,632,62.6,0.626,47.43248,Bajo,1
Sur,0,0,41.3,122,92.1,0.9209999999999999,29.88881,Bajo,0
Sur,0,1,46.2,657,48.2,0.48200000000000004,39.51948,Bajo,0
Sur,0,2,41.2,187,68.6,0.6859999999999999,32.72104,Bajo,0
Sur,0,3,44.3,240,49.2,0.49200000000000005,37.76132,Bajo,0
Sur,0,4,40.6,507,26.9,0.26899999999999996,37.32358,Bajo,0
Sur,0,5,48.0,317,45.5,0.455,41.44799999999999,Bajo,0
Sur,0,6,40.1,150,39.2,0.392,35.38424,Bajo,0
Sur,0,7,22.2,520,29.2,0.292,20.25528,Pico,0
Sur,0,8,25.4,702,78.0,0.78,19.4564,Pico,0
Sur,0,9,15.6,436,10.5,0.105,15.108600000000001,Pico,0
Sur,0,10,32.4,790,14.2,0.142,31.019759999999998,Normal,0
Sur,0,11,35.0,532,70.2,0.7020000000000001,27.629,Normal,0
Sur,0,12,35.6,106,32.6,0.326,32.118320000000004,Normal,0
Sur,0,13,35.2,161,35.1,0.35100000000000003,31.493440000000003,Normal,0
Sur,0,14,30.3,155,39.7,0.397,26.69127,Normal,0
Sur,0,15,31.3,497,68.9,0.6890000000000001,24.83029,Normal,0
Sur,0,16,38.0,240,16.7,0.16699999999999998,36.096199999999996,Normal,0
Sur,0,17,16.6,545,70.6,0.706,13.084120000000002,Pico,0
Sur,0,18,15.5,755,5.2,0.052000000000000005,15.2582,Pico,0
Sur,0,19,23.1,596,87.1,0.871,17.06397,Pico,0
Sur,0,20,47.1,661,33.9,0.33899999999999997,42.30993,Bajo,0
Sur,0,21,48.1,156,89.5,0.895,35.18515,Bajo,0
Sur,0,22,45.5,672,45.2,0.452,39.330200000000005,Bajo,0
Sur,0,23,46.4,468,73.2,0.732,36.21056,Bajo,0
Sur,1,0,40.8,142,24.7,0.247,37.77672,Bajo,0
Sur,1,1,41.6,710,21.9,0.21899999999999997,38.86688,Bajo,0
Sur,1,2,49.8,335,18.2,0.182,47.08092,Bajo,0
Sur,1,3,47.9,561,49.8,0.498,40.74374,Bajo,0
Sur,1,4,45.6,603,22.8,0.228,42.48096,Bajo,0
Sur,1,5,50.0,782,65.0,0.65,40.25,Bajo,0
Sur,1,6,42.0,576,7.2,0.07200000000000001,41.092800000000004,Bajo,0
Sur,1,7,15.5,280,46.3,0.46299999999999997,13.34705,Pico,0
Sur,1,8,28.0,609,74.3,0.743,21.7588,Pico,0
Sur,1,9,21.4,342,37.1,0.371,19.01818,Pico,0
Sur,1,10,39.9,128,86.7,0.867,29.522009999999998,Normal,0
Sur,1,11,35.8,407,72.5,0.725,28.013499999999997,Normal,0
Sur,1,12,34.9,711,90.1,0.9009999999999999,25.46653,Normal,0
Sur,1,13,34.2,293,59.2,0.5920000000000001,28.12608,Normal,0
Sur,1,14,39.1,247,62.3,0.623,31.792210000000004,Normal,0
Sur,1,15,36.3,613,13.2,0.132,34.862519999999996,Normal,0
Sur,1,16,37.2,736,18.0,0.18,35.1912,Normal,0
Sur,1,17,18.6,779,18.1,0.18100000000000002,17.590020000000003,Pico,0
Sur,1,18,27.8,444,24.7,0.247,25.740019999999998,Pico,0
Sur,1,19,28.1,411,51.5,0.515,23.758550000000003,Pico,0
Sur,1,20,43.6,515,16.4,0.16399999999999998,41.45488,Bajo,0
Sur,1,21,43.9,778,25.8,0.258,40.50214,Bajo,0
Sur,1,22,46.6,327,77.3,0.773,35.79346,Bajo,0
Sur,1,23,41.3,778,45.4,0.45399999999999996,35.67494,Bajo,0
Sur,2,0,42.4,151,17.0,0.17,40.23759999999999,Bajo,0
Sur,2,1,45.2,335,82.9,0.8290000000000001,33.95876,Bajo,0
