id_cliente,nombre,municipio,departamento,latitud,longitud,capacidad_kg,horario_apertura,horario_cierre,prioridad,frecuencia_entrega,valor_pedido,apertura_minutos,cierre_minutos,ventana_horas,categoria_volumen
C00065,Cliente GUADALUPE 65,GUADALUPE,ANTIOQUIA,6.864948897476924,-75.20986670958037,50,08:00,20:00,3,diario,2002882.903110243,480,1200,12.0,Pequeno
C00066,Cliente PALMIRA 66,PALMIRA,VALLE DEL CAUCA,3.5631981799120616,-76.23670447268074,500,09:00,18:00,2,semanal,1366392.7285729828,540,1080,9.0,Mediano
C00067,Cliente SANTA BÁRBARA 67,SANTA BÁRBARA,ANTIOQUIA,5.897960748306646,-75.5638552802208,50,06:00,17:00,3,semanal,1391240.330449893,360,1020,11.0,Pequeno
C00068,Cliente EL CAIRO 68,EL CAIRO,VALLE DEL CAUCA,4.772500788379754,-76.20212677028307,100,08:00,20:00,3,mensual,459604.67917476536,480,1200,12.0,Pequeno
C00069,Cliente CARACOLÍ 69,CARACOLÍ,ANTIOQUIA,6.352616435580016,-74.75173942319576,50,07:00,17:00,3,mensual,1914857.901192807,420,1020,10.0,Pequeno
C00070,Cliente CAICEDO 70,CAICEDO,ANTIOQUIA,6.418699273265241,-75.97471840408741,200,06:00,17:00,1,diario,712567.9880631343,360,1020,11.0,Mediano
C00071,Cliente LA UNIÓN 71,LA UNIÓN,VALLE DEL CAUCA,4.520192410866037,-76.0887009349498,50,06:00,19:00,3,mensual,2946490.185011086,360,1140,13.0,Pequeno
C00072,Cliente GRANADA 72,GRANADA,ANTIOQUIA,6.141171350195298,-75.1136505643729,50,06:00,18:00,2,semanal,1409922.3952782485,360,1080,12.0,Pequeno
C00073,Cliente ALEJANDRÍA 73,ALEJANDRÍA,ANTIOQUIA,6.3546798372201385,-75.08372899262378,100,09:00,19:00,2,semanal,2625523.119473777,540,1140,10.0,Pequeno
C00074,Cliente VEGACHÍ 74,VEGACHÍ,ANTIOQUIA,6.8497899816025,-74.76171911040916,50,07:00,20:00,3,mensual,2047240.1877513651,420,1200,13.0,Pequeno
C00075,Cliente TOLEDO 75,TOLEDO,ANTIOQUIA,7.015598907680739,-75.7168123888534,1000,06:00,18:00,3,semanal,725038.8041545104,360,1080,12.0,Grande
C00076,Cliente COCORNÁ 76,COCORNÁ,ANTIOQUIA,6.009916587981675,-75.1546882571351,200,08:00,19:00,3,semanal,2282006.714709717,480,1140,11.0,Mediano
C00077,Cliente PUEBLORRICO 77,PUEBLORRICO,ANTIOQUIA,5.805563571292851,-75.85588320199089,200,06:00,17:00,3,semanal,4218352.504342613,360,1020,11.0,Mediano
C00078,Cliente BARBOSA 78,BARBOSA,ANTIOQUIA,6.433747710531959,-75.33087541975047,100,07:00,17:00,2,semanal,2919267.175635105,420,1020,10.0,Pequeno
C00079,Cliente URRAO 79,URRAO,ANTIOQUIA,6.336831876668563,-76.26066005364066,200,07:00,20:00,3,diario,1761053.0524531228,420,1200,13.0,Mediano
C00080,Cliente SAN PEDRO DE LOS MILAGROS 80,SAN PEDRO DE LOS MILAGROS,ANTIOQUIA,6.457624773610514,-75.55578159045916,100,06:00,18:00,2,mensual,1758159.0077208143,360,1080,12.0,Pequeno
C00081,Cliente JARDÍN 81,JARDÍN,ANTIOQUIA,5.555716526259407,-75.81647713763171,1000,06:00,20:00,2,semanal,2541915.490731541,360,1200,14.0,Grande
C00082,Cliente EL BAGRE 82,EL BAGRE,ANTIOQUIA,7.697496661587201,-74.68058563655086,50,07:00,19:00,3,diario,1917565.5279482596,420,1140,12.0,Pequeno
C00083,Cliente PUERTO NARE 83,PUERTO NARE,ANTIOQUIA,6.117614244925888,-74.69092916880828,50,08:00,17:00,3,semanal,4624006.707581794,480,1020,9.0,Pequeno
C00084,Cliente ARBOLETES 84,ARBOLETES,ANTIOQUIA,8.616125452861212,-76.42002662441722,100,06:00,18:00,1,semanal,3581080.4501285343,360,1080,12.0,Pequeno
C00085,Cliente TITIRIBÍ 85,TITIRIBÍ,ANTIOQUIA,6.072127597905346,-75.78967540071966,500,06:00,18:00,3,semanal,1250228.9929919117,360,1080,12.0,Mediano
C00086,Cliente VENECIA 86,VENECIA,ANTIOQUIA,5.951667721524185,-75.7964213820889,50,06:00,19:00,1,semanal,1204421.237171516,360,1140,13.0,Pequeno
C00087,Cliente APARTADÓ 87,APARTADÓ,ANTIOQUIA,7.8642218481421615,-76.57519854723422,200,06:00,17:00,3,semanal,3697271.253204819,360,1020,11.0,Mediano
C00088,Cliente TITIRIBÍ 88,TITIRIBÍ,ANTIOQUIA,6.068167549967374,-75.80239366815081,200,07:00,17:00,2,mensual,3057398.3503531856,420,1020,10.0,Mediano
C00089,Cliente ITAGÜÍ 89,ITAGÜÍ,ANTIOQUIA,6.198740047951719,-75.60997270722572,50,06:00,18:00,2,semanal,2464658.5140032526,360,1080,12.0,Pequeno
C00090,Cliente SAN JUAN DE URABÁ 90,SAN JUAN DE URABÁ,ANTIOQUIA,8.694604263962052,-76.54107853325225,50,08:00,19:00,3,semanal,4912774.1536976015,480,1140,11.0,Pequeno
C00091,Cliente AMALFI 91,AMALFI,ANTIOQUIA,6.973703066961829,-74.96246048266899,500,08:00,18:00,3,semanal,3628335.6782777896,480,1080,10.0,Mediano
C00092,Cliente JERICÓ 92,JERICÓ,ANTIOQUIA,5.786995575565103,-75.76261204427945,100,08:00,17:00,3,diario,1652212.2202010062,480,1020,9.0,Pequeno
C00093,Cliente BELLO 93,BELLO,ANTIOQUIA,6.346821363093532,-75.58028599265207,500,08:00,17:00,3,semanal,2927129.196041931,480,1020,9.0,Mediano
C00094,Cliente DAGUA 94,DAGUA,VALLE DEL CAUCA,3.6671027916902776,-76.72756778231363,200,06:00,18:00,2,diario,363706.1038402004,360,1080,12.0,Mediano
C00095,Cliente ARGELIA 95,ARGELIA,VALLE DEL CAUCA,4.69718201779899,-76.12925501216581,50,08:00,17:00,1,diario,2392172.6952068666,480,1020,9.0,Pequeno
C00096,Cliente COCORNÁ 96,COCORNÁ,ANTIOQUIA,6.002066710565891,-75.16619929933829,50,06:00,18:00,3,semanal,4668043.432144775,360,1080,12.0,Pequeno
C00097,Cliente CANDELARIA 97,CANDELARIA,VALLE DEL CAUCA,3.3702916364021296,-76.38800748660144,50,09:00,20:00,3,mensual,741873.264300133,540,1200,11.0,Pequeno
C00098,Cliente SEGOVIA 98,SEGOVIA,ANTIOQUIA,7.276943466990613,-74.60965777476322,200,06:00,17:00,3,semanal,2639173.852607141,360,1020,11.0,Mediano
C00099,Cliente BUENAVENTURA 99,BUENAVENTURA,VALLE DEL CAUCA,3.48598862929186,-77.1151960529682,100,09:00,20:00,3,semanal,2340264.939064552,540,1200,11.0,Pequeno
C00100,Cliente YUMBO 100,YUMBO,VALLE DEL CAUCA,3.5975049114765856,-76.51343811298447,50,06:00,17:00,3,semanal,2740586.662514244,360,1020,11.0,Pequeno
C00101,Cliente EL SANTUARIO 101,EL SANTUARIO,ANTIOQUIA,6.113370510636991,-75.25040880757545,200,08:00,19:00,2,diario,3980424.686887965,480,1140,11.0,Mediano
C00102,Cliente SAN PEDRO 102,SAN PEDRO,VALLE DEL CAUCA,3.981249385056159,-76.19870324355443,200,09:00,17:00,2,semanal,1280021.2420816054,540,1020,8.0,Mediano
C00103,Cliente EL CARMEN DE VIBORAL 103,EL CARMEN DE VIBORAL,ANTIOQUIA,5.959420138389431,-75.26074051260514,100,06:00,19:00,3,diario,2705582.689848744,360,1140,13.0,Pequeno
C00104,Cliente ENVIGADO 104,ENVIGADO,ANTIOQUIA,6.16825301366938,-75.56176824350672,1000,09:00,17:00,3,semanal,3870815.803961313,540,1020,8.0,Grande
C00105,Cliente RIOFRÍO 105,RIOFRÍO,VALLE DEL CAUCA,4.115146203315413,-76.36329649222132,500,07:00,19:00,3,mensual,4797420.233091937,420,1140,12.0,Mediano
C00106,Cliente EL SANTUARIO 106,EL SANTUARIO,ANTIOQUIA,6.127545166790645,-75.25608872332944,100,07:00,19:00,2,semanal,2554148.9604781065,420,1140,12.0,Pequeno
C00107,Cliente TITIRIBÍ 107,TITIRIBÍ,ANTIOQUIA,6.067393794442496,-75.79594153378964,500,09:00,20:00,3,mensual,3550831.239851323,540,1200,11.0,Mediano
C00108,Cliente SONSÓN 108,SONSÓN,ANTIOQUIA,5.83723864574079,-74.84139881521118,50,07:00,19:00,3,mensual,4631564.138888543,420,1140,12.0,Pequeno
C00109,Cliente OBANDO 109,OBANDO,VALLE DEL CAUCA,4.58250109727383,-75.9597634586162,100,07:00,20:00,2,mensual,4355986.992207535,420,1200,13.0,Pequeno
C00110,Cliente GUARNE 110,GUARNE,ANTIOQUIA,6.255721527835084,-75.43299223424823,50,06:00,17:00,2,mensual,3038421.582064188,360,1020,11.0,Pequeno
C00111,Cliente CAUCASIA 111,CAUCASIA,ANTIOQUIA,7.863868539743637,-75.03352241588249,200,07:00,18:00,3,semanal,4596350.88844954,420,1080,11.0,Mediano
C00112,Cliente ANDALUCÍA 112,ANDALUCÍA,VALLE DEL CAUCA,4.1422984209176,-76.1625358293547,200,07:00,20:00,3,diario,217701.8432206452,420,1200,13.0,Mediano
C00113,Cliente TULUÁ 113,TULUÁ,VALLE DEL CAUCA,4.022903725964666,-76.02928025598888,100,09:00,18:00,3,diario,4807298.071473803,540,1080,9.0,Pequeno
C00114,Cliente LA CUMBRE 114,LA CUMBRE,VALLE DEL CAUCA,3.690888070949081,-76.60648506327685,1000,09:00,17:00,2,semanal,2016724.6715151093,540,1020,8.0,Grande
C00115,Cliente YOLOMBÓ 115,YOLOMBÓ,ANTIOQUIA,6.656419140882972,-75.03592718003803,1000,06:00,17:00,2,mensual,2957895.340958668,360,1020,11.0,Grande
C00116,Cliente MEDELLÍN 116,MEDELLÍN,ANTIOQUIA,6.2686113636678,-75.61289951661007,100,07:00,20:00,3,semanal,3838513.5912778913,420,1200,13.0,Pequeno
C00117,Cliente BUENAVENTURA 117,BUENAVENTURA,VALLE DEL CAUCA,3.480617891219811,-77.10425689515947,200,09:00,18:00,2,semanal,2073234.1469355773,540,1080,9.0,Mediano
C00118,Cliente SABANETA 118,SABANETA,ANTIOQUIA,6.157462440424639,-75.59521443562173,1000,09:00,17:00,3,semanal,1020759.8434825914,540,1020,8.0,Grande
C00119,Cliente MUTATÁ 119,MUTATÁ,ANTIOQUIA,7.313722191279383,-76.45106905658507,200,08:00,17:00,3,mensual,4036309.08842163,480,1020,9.0,Mediano
C00120,Cliente SALGAR 120,SALGAR,ANTIOQUIA,5.979393011274226,-75.96714465127575,200,09:00,20:00,3,diario,2061641.925953934,540,1200,11.0,Mediano
C00121,Cliente GUARNE 121,GUARNE,ANTIOQUIA,6.282479135740845,-75.45678793305956,50,08:00,17:00,1,diario,2936055.726799976,480,1020,9.0,Pequeno
C00122,Cliente PUERTO TRIUNFO 122,PUERTO TRIUNFO,ANTIOQUIA,5.970537019443079,-74.67349405753046,500,08:00,18:00,3,semanal,219429.1485616192,480,1080,10.0,Mediano
C00123,Cliente BETANIA 123,BETANIA,ANTIOQUIA,5.732047241313965,-75.99051460391235,50,07:00,17:00,2,mensual,3829848.681090816,420,1020,10.0,Pequeno
C00124,Cliente BURITICÁ 124,BURITICÁ,ANTIOQUIA,6.793634407036816,-75.90943488520134,200,07:00,19:00,3,semanal,161223.07618458112,420,1140,12.0,Mediano
C00125,Cliente ARBOLETES 125,ARBOLETES,ANTIOQUIA,8.621062739769147,-76.40682933587357,50,08:00,17:00,2,mensual,4922790.794482583,480,1020,9.0,Pequeno
C00126,Cliente CAÑASGORDAS 126,CAÑASGORDAS,ANTIOQUIA,6.801817194433932,-76.03600402693922,200,07:00,18:00,3,mensual,2515549.2298794785,420,1080,11.0,Mediano
C00127,Cliente CAROLINA 127,CAROLINA,ANTIOQUIA,6.756988562100632,-75.29984972446591,100,09:00,19:00,2,diario,1355234.8230413513,540,1140,10.0,Pequeno
C00128,Cliente CARAMANTA 128,CARAMANTA,ANTIOQUIA,5.5702308991025005,-75.62692443591318,500,06:00,17:00,3,semanal,4198629.467732564,360,1020,11.0,Mediano
C00129,Cliente YARUMAL 129,YARUMAL,ANTIOQUIA,6.985012342382027,-75.46024471493756,200,06:00,19:00,1,mensual,387836.0415027533,360,1140,13.0,Mediano
C00130,Cliente SANTA FÉ DE ANTIOQUIA 130,SANTA FÉ DE ANTIOQUIA,ANTIOQUIA,6.527259325470828,-75.9100396713414,50,08:00,19:00,3,mensual,2013414.3966076688,480,1140,11.0,Pequeno
C00131,Cliente PALMIRA 131,PALMIRA,VALLE DEL CAUCA,3.5758660655729906,-76.21849683611158,50,07:00,20:00,3,diario,4215571.818534715,420,1200,13.0,Pequeno
C00132,Cliente PUERTO NARE 132,PUERTO NARE,ANTIOQUIA,6.126393788888049,-74.69930350604332,100,06:00,18:00,3,semanal,1790123.797614383,360,1080,12.0,Pequeno
C00133,Cliente ANSERMANUEVO 133,ANSERMANUEVO,VALLE DEL CAUCA,4.795746944648248,-76.0220943941429,100,06:00,19:00,1,diario,61579.98359760238,360,1140,13.0,Pequeno
C00134,Cliente SANTA ROSA DE OSOS 134,SANTA ROSA DE OSOS,ANTIOQUIA,6.679437051674763,-75.4437043741224,500,08:00,19:00,3,mensual,3468273.1506059207,480,1140,11.0,Mediano
C00135,Cliente ENVIGADO 135,ENVIGADO,ANTIOQUIA,6.137863130474488,-75.52854095827983,200,09:00,19:00,3,semanal,3476768.99436337,540,1140,10.0,Mediano
C00136,Cliente CÁCERES 136,CÁCERES,ANTIOQUIA,7.681289657505441,-75.2178308432353,200,07:00,17:00,3,diario,3542597.103952658,420,1020,10.0,Mediano
C00137,Cliente GINEBRA 137,GINEBRA,VALLE DEL CAUCA,3.731327423805093,-76.1881022307779,100,08:00,18:00,2,mensual,1003365.1875388706,480,1080,10.0,Pequeno
C00138,Cliente MUTATÁ 138,MUTATÁ,ANTIOQUIA,7.348400177806615,-76.44529504043547,100,08:00,18:00,1,semanal,2636051.1515522865,480,1080,10.0,Pequeno
C00139,Cliente SANTO DOMINGO 139,SANTO DOMINGO,ANTIOQUIA,6.46252443738862,-75.13875017486072,200,09:00,20:00,3,mensual,2674812.406542756,540,1200,11.0,Mediano
C00140,Cliente TÁMESIS 140,TÁMESIS,ANTIOQUIA,5.676655681377338,-75.69764066082396,500,06:00,18:00,2,semanal,4435589.853769126,360,1080,12.0,Mediano
C00141,Cliente TÁMESIS 141,TÁMESIS,ANTIOQUIA,5.6630769499901445,-75.72882370873774,100,07:00,18:00,1,diario,1950621.2551026423,420,1080,11.0,Pequeno
C00142,Cliente SAN PEDRO DE LOS MILAGROS 142,SAN PEDRO DE LOS MILAGROS,ANTIOQUIA,6.470617637430946,-75.54256653557867,500,06:00,18:00,1,diario,2424917.5679396987,360,1080,12.0,Mediano
C00143,Cliente ARMENIA 143,ARMENIA,ANTIOQUIA,6.178630842567454,-75.79059194123202,100,07:00,17:00,2,semanal,3674745.4455639934,420,1020,10.0,Pequeno
C00144,Cliente ABRIAQUÍ 144,ABRIAQUÍ,ANTIOQUIA,6.626261808661505,-76.09409744494181,100,09:00,18:00,2,diario,138475.97693039838,540,1080,9.0,Pequeno
C00145,Cliente NARIÑO 145,NARIÑO,ANTIOQUIA,5.565654015947165,-75.19890498437837,500,09:00,19:00,3,mensual,492584.4614456846,540,1140,10.0,Mediano
C00146,Cliente CONCEPCIÓN 146,CONCEPCIÓN,ANTIOQUIA,6.391270919302487,-75.20006972910834,200,07:00,17:00,3,mensual,371682.7269403254,420,1020,10.0,Mediano
